,Time,Mass Flow,Flow Temperature,Temperature 1,Internal Temperature 1,Temperature 2,Internal Temperature 2,Temperature 3,Internal Temperature 3,Pressure,Valve Position
0,1638819828.7813885,0.32,25.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
1,1638819828.9214244,0.34,25.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
2,1638819829.061388,191.75,24.98,0.0,0.0,0.0,0.0,0.0,0.0,0.4882812,0.75
3,1638819829.2033885,259.05,24.8,0.0,0.0,0.0,0.0,0.0,0.0,0.5859375,1.25
4,1638819829.3433886,50.97,24.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5
5,1638819829.469389,38.97,24.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75
6,1638819829.6083882,37.45,24.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
7,1638819829.7483904,37.17,24.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5
8,1638819829.8893883,37.15,24.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75
9,1638819830.0293891,37.06,24.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
10,1638819830.1693985,37.01,24.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5
11,1638819830.2973893,37.08,24.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75
12,1638819830.4353898,36.92,25.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
13,1638819830.5753882,37.14,24.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.25
14,1638819830.7204065,37.05,24.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5
15,1638819830.8453894,37.05,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
16,1638819830.9854097,37.09,24.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.25
17,1638819831.123389,36.99,24.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5
18,1638819831.2633874,37.09,25.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
19,1638819831.4053893,37.11,25.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25
20,1638819831.5333889,37.1,25.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5
21,1638819831.6753874,37.07,25.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.75
22,1638819831.8204064,36.96,24.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
23,1638819831.9463906,37.11,24.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5
24,1638819832.0853894,37.16,25.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.75
25,1638819832.2253895,36.92,24.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
26,1638819832.367389,36.95,25.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.25
27,1638819832.50939,36.99,24.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.75
28,1638819832.6344085,37.15,25.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
29,1638819832.7733889,37.06,25.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.25
30,1638819832.914388,36.97,25.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.75
31,1638819833.0533874,37.01,24.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
32,1638819833.1943913,36.98,24.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.25
33,1638819833.3184018,37.11,24.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5
34,1638819833.4613888,36.89,24.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.75
35,1638819833.599389,36.91,25.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.25
36,1638819833.738388,36.98,24.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5
37,1638819833.8793893,36.93,25.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.75
38,1638819834.0193877,36.89,24.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.25
39,1638819834.1464238,37.05,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5
40,1638819834.2874253,36.9,24.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.75
41,1638819834.4293878,36.92,25.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
42,1638819834.560388,36.71,24.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5
43,1638819834.6993942,37.08,24.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.75
44,1638819834.8413887,36.85,24.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
45,1638819834.98339,37.03,24.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.25
46,1638819835.1094253,36.92,24.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.75
47,1638819835.2523878,36.71,25.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
48,1638819835.3953898,36.82,24.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.25
49,1638819835.5224755,36.84,24.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5
50,1638819835.6656213,36.91,25.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
51,1638819835.79365,36.78,25.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.25
52,1638819835.9356503,36.86,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5
53,1638819836.0776205,36.86,24.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.75
54,1638819836.2206213,36.88,25.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.25
55,1638819836.3446221,36.79,25.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5
56,1638819836.4836214,36.76,24.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.75
