,Time,Elapsed Time,Mass Flow,Target Mass Flow,MFM Temperature,Inlet Temperature,Midpoint Temperature,Outlet Temperature,Heater Temperature,Supply Pressure,Inlet Pressure,Midpoint Pressure,Outlet Pressure,Valve Position,Heater Power,Heater Current
0,1644533238.8499177,0.0,103.17,0.0,24.58,24.5,35.25,68.0,222.75,9.5703125,9.765625,6.25,0.0,0.0,300.0,0.03
1,1644533239.0168495,0.15908241271972656,102.01,0.0,24.48,24.0,35.5,68.75,222.75,9.8144531,9.5703125,6.1523437,0.0,0.0,300.0,-0.05
2,1644533239.1851447,0.26453399658203125,103.52,0.0,24.52,24.25,35.25,69.0,222.5,9.8144531,9.5703125,6.1523437,0.0,0.0,300.0,0.11
3,1644533239.3415089,0.4825880527496338,103.07,0.0,24.51,24.0,35.75,69.0,223.0,9.8144531,9.6679687,6.0546875,0.0,0.0,300.0,0.03
4,1644533239.5238948,0.5910699367523193,103.2,0.0,24.56,24.5,36.0,69.25,222.75,9.8144531,9.6679687,6.25,0.0,0.0,300.0,0.05
5,1644533239.683399,0.8084611892700195,103.88,0.0,24.5,24.5,35.5,69.0,222.5,9.8144531,9.4726562,6.7382812,0.0,0.0,300.0,0.05
6,1644533239.8538904,0.918921709060669,102.93,0.0,24.42,24.5,35.5,69.25,222.5,9.8144531,9.4726562,6.5429687,0.0,0.0,300.0,0.03
7,1644533240.0104938,1.136906385421753,103.64,0.0,24.49,24.5,35.25,69.0,222.75,9.8144531,9.5703125,6.4453125,0.0,0.0,300.0,0.11
8,1644533240.1845086,1.246103048324585,103.82,0.0,24.47,24.75,36.0,68.0,222.75,9.8144531,9.6679687,6.4453125,0.0,0.0,300.0,-0.05
9,1644533240.3485165,1.4584054946899414,104.13,0.0,24.52,24.5,35.75,68.0,222.75,9.5703125,9.4726562,6.4453125,0.0,0.0,300.0,-0.03
10,1644533240.518015,1.6750974655151367,103.11,0.0,24.47,24.5,35.5,69.25,223.0,9.8144531,9.5703125,6.25,0.0,0.0,300.0,0.0
11,1644533240.7065475,1.7860331535339355,103.77,0.0,24.5,24.5,35.5,67.75,222.75,9.8144531,9.6679687,6.4453125,0.0,0.0,300.0,-0.03
12,1644533240.8649983,2.0060689449310303,102.78,0.0,24.49,24.5,35.75,68.75,222.75,9.8144531,9.765625,6.3476562,0.0,0.0,300.0,0.11
13,1644533241.022797,2.116499900817871,102.81,0.0,24.47,24.5,35.75,68.75,222.75,9.8144531,9.6679687,6.25,0.0,0.0,300.0,-0.05
14,1644533241.2011795,2.334909200668335,103.48,0.0,24.47,24.25,35.75,68.5,223.25,9.5703125,9.4726562,6.3476562,0.0976563,0.0,300.0,0.03
15,1644533241.3656764,2.444500684738159,103.28,0.0,24.58,24.5,36.0,67.75,222.75,9.8144531,9.5703125,6.3476562,0.0,0.0,300.0,-0.13
16,1644533241.5355287,2.6609015464782715,103.1,0.0,24.45,24.25,36.0,67.5,223.0,9.8144531,9.4726562,6.1523437,0.0,0.0,300.0,0.08
17,1644533241.7058473,2.7719645500183105,103.34,0.0,24.53,24.5,35.5,68.5,223.0,9.8144531,9.5703125,6.25,0.0,0.0,300.0,0.03
18,1644533241.8635542,2.989617347717285,104.01,0.0,24.5,24.0,36.0,68.5,222.75,9.5703125,9.5703125,6.1523437,0.0,0.0,300.0,0.03
19,1644533242.034163,3.097844362258911,103.71,0.0,24.44,24.25,35.75,68.0,223.25,9.5703125,9.4726562,6.5429687,0.0,0.0,300.0,0.16
20,1644533242.1945007,3.3149008750915527,103.95,0.0,24.5,24.25,35.75,69.0,222.75,9.5703125,9.4726562,6.25,0.0,0.0,300.0,5.16
21,1644533242.3694615,3.4235761165618896,103.38,0.0,24.44,24.0,36.0,68.25,222.75,9.8144531,9.4726562,6.1523437,0.0,0.0,300.0,5.11
22,1644533242.5325134,3.6424427032470703,103.22,0.0,24.53,24.0,35.5,68.5,223.0,9.8144531,9.4726562,6.1523437,0.0,0.0,300.0,4.89
23,1644533242.7020688,3.8591513633728027,103.65,0.0,24.47,24.0,35.25,67.5,222.75,9.8144531,9.5703125,6.3476562,0.0,0.0,300.0,4.81
24,1644533242.8570793,3.9675135612487793,103.49,0.0,24.45,24.5,35.75,67.25,222.75,9.8144531,9.6679687,6.25,0.0,0.0,300.0,4.18
25,1644533243.0330832,4.185163497924805,103.68,0.0,24.51,24.5,35.75,67.5,223.0,9.8144531,9.5703125,6.25,0.0,0.0,300.0,3.3
26,1644533243.2133532,4.2923924922943115,103.41,0.0,24.46,24.25,36.0,67.5,223.0,9.8144531,9.5703125,6.1523437,0.0976563,0.0,300.0,2.15
27,1644533243.3716052,4.507676601409912,102.47,0.0,24.45,24.5,35.5,68.0,223.0,9.8144531,9.5703125,6.1523437,0.0,0.0,300.0,1.3
28,1644533243.542982,4.617302656173706,103.56,0.0,24.47,24.5,35.5,68.25,223.0,9.8144531,9.6679687,6.1523437,0.0,0.0,300.0,0.45
29,1644533243.708963,4.835372447967529,102.86,0.0,24.45,24.25,35.5,68.5,222.5,9.8144531,9.5703125,6.1523437,0.0,0.0,300.0,-0.05
30,1644533243.8698187,4.9427573680877686,103.0,0.0,24.48,24.5,35.75,68.25,222.5,9.8144531,9.6679687,6.25,0.0,0.0,300.0,-3.35
31,1644533244.055109,5.159180402755737,103.16,0.0,24.48,24.25,35.5,68.5,223.0,9.8144531,9.6679687,6.25,0.0,0.0,300.0,-4.87
32,1644533244.201828,5.266397476196289,103.7,0.0,24.52,24.25,35.75,68.0,222.75,9.8144531,9.5703125,6.3476562,0.0,0.0,300.0,-4.79
33,1644533244.372189,5.483503341674805,103.7,0.0,24.48,24.25,35.5,68.0,223.0,9.8144531,9.5703125,6.25,0.0,0.0,300.0,-3.46
34,1644533244.5593913,5.700472116470337,102.22,0.0,24.49,24.5,35.5,67.5,222.75,9.8144531,9.375,6.3476562,0.0,0.0,300.0,-0.61
35,1644533244.715428,5.8098814487457275,102.65,0.0,24.55,24.75,35.25,68.0,223.25,9.8144531,9.5703125,6.1523437,0.0,0.0,300.0,2.47
36,1644533244.8856468,6.0279295444488525,104.45,0.0,24.49,24.5,35.5,67.75,223.0,9.8144531,9.5703125,6.4453125,0.0,0.0,300.0,3.35
37,1644533245.047126,6.136909246444702,103.32,0.0,24.51,24.25,35.25,68.5,222.5,9.5703125,9.6679687,6.1523437,0.0,0.0,300.0,4.15
38,1644533245.2217863,6.3538501262664795,104.0,0.0,24.51,24.25,35.75,67.75,223.5,9.8144531,9.6679687,6.1523437,0.0,0.0,300.0,4.58
39,1644533245.3800404,6.461076498031616,103.13,0.0,24.53,24.0,35.25,67.75,222.5,9.8144531,9.5703125,6.3476562,0.0,0.0,300.0,4.97
40,1644533245.5512784,6.676350355148315,103.41,0.0,24.47,24.5,35.5,67.5,222.75,9.8144531,9.6679687,6.1523437,0.0,0.0,300.0,5.13
41,1644533245.733586,6.784972906112671,103.14,0.0,24.58,24.5,35.5,67.5,222.75,9.8144531,9.765625,6.0546875,0.0,0.0,300.0,4.97
42,1644533245.8766608,7.003489017486572,103.49,0.0,24.54,25.0,35.75,68.25,222.5,9.8144531,9.765625,6.3476562,0.0,0.0,300.0,5.03
43,1644533246.0478294,7.111664772033691,102.64,0.0,24.46,24.25,35.25,67.75,222.5,9.8144531,9.6679687,6.3476562,0.0,0.0,300.0,4.79
44,1644533246.2172933,7.328346252441406,104.22,0.0,24.5,24.5,36.0,68.25,223.0,9.8144531,9.8632812,5.9570312,0.0,0.0,300.0,4.42
45,1644533246.3916194,7.544703960418701,104.1,0.0,24.43,24.25,35.0,67.75,222.75,9.5703125,9.6679687,6.4453125,0.0,0.0,300.0,3.46
46,1644533246.5428538,7.653261661529541,103.54,0.0,24.47,24.5,35.25,68.0,222.5,9.8144531,9.8632812,6.3476562,0.0,0.0,300.0,2.31
47,1644533246.7188888,7.869969606399536,102.82,0.0,24.5,25.0,35.5,68.0,222.5,10.0585937,9.6679687,6.1523437,0.0,0.0,300.0,1.62
48,1644533246.884201,7.978870630264282,103.14,0.0,24.39,25.0,36.0,68.0,222.75,9.5703125,9.765625,6.3476562,0.0,0.0,300.0,-1.22
49,1644533247.0602987,8.197641372680664,103.54,0.0,24.45,24.5,35.25,68.0,222.5,9.8144531,9.765625,6.3476562,0.0,0.0,300.0,-3.96
50,1644533247.2426012,8.306312799453735,103.45,0.0,24.5,24.75,35.5,68.25,222.5,9.8144531,9.6679687,6.3476562,0.0,0.0,300.0,-4.97
51,1644533247.3828905,8.524596929550171,104.01,0.0,24.5,24.75,34.75,68.0,222.25,9.8144531,9.5703125,6.25,0.0,0.0,300.0,-4.81
52,1644533247.5541985,8.632850408554077,103.91,0.0,24.46,24.5,35.25,68.0,222.25,9.8144531,9.6679687,6.4453125,0.0,0.0,300.0,-2.47
