,Time,Mass Flow,Flow Temperature,Temperature 1,Internal Temperature 1,Temperature 2,Internal Temperature 2,Temperature 3,Internal Temperature 3,Tank Pressure,Inlet Pressure,Valve Position,Heater Current
0,1643231136.7463555,0.26,0.0,28.75,0.0,28.5,0.0,28.0,0.0,79.3945312,58.203125,90.0,618.0
1,1643231136.9171784,0.26,0.0,28.75,0.0,28.5,0.0,28.0,0.0,79.3945312,58.3007812,90.0,622.0
2,1643231137.0931973,0.27,0.0,28.75,0.0,28.5,0.0,28.0,0.0,79.3945312,58.3007812,90.0,622.0
3,1643231137.245756,0.26,0.0,28.5,0.0,28.5,0.0,28.0,0.0,79.1503906,58.1054687,90.0,621.0
4,1643231137.4170206,0.26,0.0,28.75,0.0,28.5,0.0,28.0,0.0,78.90625,58.0078125,90.0,624.0
5,1643231137.5879982,0.26,0.0,28.75,0.0,28.5,0.0,28.0,0.0,78.90625,58.0078125,90.0,623.0
6,1643231137.749425,0.27,0.0,28.75,0.0,28.5,0.0,28.0,0.0,79.1503906,58.3984375,90.0,619.0
7,1643231137.9178152,0.25,0.0,28.5,0.0,28.5,0.0,28.0,0.0,79.3945312,58.1054687,90.0,619.0
8,1643231138.0916438,0.25,0.0,28.75,0.0,28.5,0.0,28.0,0.0,79.3945312,58.203125,90.0,624.0
9,1643231138.2658842,0.27,0.0,28.75,0.0,28.5,0.0,28.0,0.0,79.3945312,58.203125,90.0,620.0
10,1643231138.4175162,0.26,0.0,28.75,0.0,28.5,0.0,28.0,0.0,79.6386718,58.203125,90.0,624.0
11,1643231138.5884137,0.27,0.0,28.5,0.0,28.5,0.0,28.0,0.0,79.6386718,58.4960937,90.0,627.0
12,1643231138.7586682,0.25,0.0,28.75,0.0,28.5,0.0,28.0,0.0,79.3945312,58.203125,90.0,624.0
13,1643231138.9210722,0.26,0.0,28.75,0.0,28.5,0.0,28.25,0.0,79.3945312,58.1054687,90.0,624.0
14,1643231139.088118,0.26,0.0,28.75,0.0,28.75,0.0,28.0,0.0,79.3945312,58.3984375,90.0,620.0
15,1643231139.2564282,0.26,0.0,28.75,0.0,28.75,0.0,28.0,0.0,79.3945312,58.3007812,90.0,622.0
16,1643231139.43205,0.25,0.0,28.75,0.0,28.5,0.0,28.0,0.0,79.3945312,58.1054687,90.0,623.0
17,1643231139.5826483,0.26,0.0,28.75,0.0,28.5,0.0,28.0,0.0,79.3945312,58.3007812,90.0,626.0
18,1643231139.7544742,0.26,0.0,28.75,0.0,28.5,0.0,28.0,0.0,79.3945312,58.3984375,90.0,621.0
19,1643231139.924518,0.26,0.0,28.75,0.0,28.5,0.0,28.0,0.0,79.6386718,58.3007812,90.0,621.0
20,1643231140.106355,0.26,0.0,28.75,0.0,28.5,0.0,28.0,0.0,79.3945312,58.1054687,90.0,625.0
21,1643231140.2564256,0.26,0.0,28.75,0.0,28.5,0.0,28.0,0.0,79.1503906,58.1054687,90.0,623.0
22,1643231140.4275446,0.26,0.0,28.75,0.0,28.5,0.0,28.0,0.0,79.1503906,58.0078125,90.0,621.0
23,1643231140.5991774,0.26,0.0,28.75,0.0,28.5,0.0,28.0,0.0,79.1503906,58.1054687,90.0,623.0
24,1643231140.7725215,0.26,0.0,28.75,0.0,28.5,0.0,28.0,0.0,79.1503906,58.203125,90.0,618.0
25,1643231140.926485,0.26,0.0,28.75,0.0,28.5,0.0,28.0,0.0,79.1503906,58.203125,90.0,620.0
26,1643231141.1012475,0.26,0.0,28.75,0.0,28.5,0.0,28.0,0.0,79.3945312,58.1054687,90.0,623.0
27,1643231141.2579541,0.27,0.0,28.5,0.0,28.5,0.0,28.0,0.0,79.3945312,58.0078125,90.0,622.0
28,1643231141.4317584,0.26,0.0,28.75,0.0,28.5,0.0,28.0,0.0,78.90625,58.0078125,90.0,625.0
29,1643231141.604303,0.26,0.0,28.75,0.0,28.5,0.0,28.0,0.0,79.1503906,58.3007812,90.0,621.0
30,1643231141.7585156,0.26,0.0,29.0,0.0,28.5,0.0,28.0,0.0,79.3945312,58.3007812,90.0,623.0
31,1643231141.9322035,0.26,0.0,28.75,0.0,28.5,0.0,28.0,0.0,79.6386718,58.3007812,90.0,625.0
32,1643231142.1026487,0.25,0.0,28.75,0.0,28.5,0.0,28.0,0.0,79.6386718,58.3984375,90.0,624.0
33,1643231142.2745676,0.26,0.0,28.5,0.0,28.5,0.0,28.0,0.0,79.6386718,58.203125,90.0,620.0
34,1643231142.4358244,0.27,0.0,28.75,0.0,28.5,0.0,28.0,0.0,79.3945312,58.0078125,90.0,623.0
35,1643231142.603438,0.26,0.0,28.75,0.0,28.5,0.0,28.0,0.0,79.3945312,58.203125,90.0,623.0
36,1643231142.774245,0.26,0.0,28.75,0.0,28.5,0.0,28.0,0.0,79.1503906,58.0078125,90.0,623.0
37,1643231142.92969,0.26,0.0,28.5,0.0,28.5,0.0,28.0,0.0,79.3945312,58.203125,90.0,626.0
38,1643231143.107905,0.26,0.0,28.75,0.0,28.5,0.0,28.0,0.0,79.3945312,58.3007812,90.0,622.0
39,1643231143.2724266,0.27,0.0,28.75,0.0,28.5,0.0,28.0,0.0,79.1503906,57.8125,90.0,625.0
40,1643231143.4437208,0.26,0.0,28.5,0.0,28.5,0.0,28.0,0.0,78.90625,57.9101562,90.0,622.0
41,1643231143.6005046,0.26,0.0,28.75,0.0,28.5,0.0,28.0,0.0,78.90625,58.1054687,90.0,621.0
42,1643231143.7752423,0.25,0.0,28.75,0.0,28.25,0.0,28.0,0.0,78.90625,58.1054687,90.0,624.0
43,1643231143.9452977,0.25,0.0,28.75,0.0,28.5,0.0,28.0,0.0,78.90625,58.0078125,90.0,621.0
44,1643231144.1137588,0.26,0.0,28.75,0.0,28.5,0.0,28.0,0.0,78.90625,57.9101562,90.0,623.0
45,1643231144.2679732,0.26,0.0,28.5,0.0,28.5,0.0,28.0,0.0,78.6621093,57.9101562,90.0,620.0
46,1643231144.4424262,0.26,0.0,28.75,0.0,28.5,0.0,28.0,0.0,78.6621093,57.9101562,90.0,624.0
47,1643231144.6115003,0.26,0.0,28.75,0.0,28.5,0.0,28.0,0.0,78.90625,58.1054687,90.0,622.0
48,1643231144.7690032,0.26,0.0,28.75,0.0,28.5,0.0,28.0,0.0,78.90625,58.1054687,90.0,616.0
49,1643231144.9470527,0.25,0.0,28.75,0.0,28.5,0.0,28.0,0.0,79.3945312,58.3984375,90.0,627.0
50,1643231145.1160975,0.26,0.0,28.75,0.0,28.75,0.0,28.0,0.0,79.3945312,58.0078125,90.0,622.0
51,1643231145.2721717,0.26,0.0,28.75,0.0,28.5,0.0,28.25,0.0,79.3945312,58.1054687,90.0,622.0
52,1643231145.4432151,0.25,0.0,28.75,0.0,28.5,0.0,28.0,0.0,79.3945312,58.203125,90.0,620.0
53,1643231145.6193388,0.26,0.0,28.75,0.0,28.5,0.0,28.0,0.0,79.1503906,58.0078125,90.0,621.0
54,1643231145.772576,0.26,0.0,28.75,0.0,28.5,0.0,28.0,0.0,79.1503906,58.1054687,90.0,621.0
55,1643231145.9444246,0.26,0.0,28.5,0.0,28.5,0.0,28.25,0.0,79.3945312,58.203125,90.0,625.0
56,1643231146.1204782,0.26,0.0,28.75,0.0,28.5,0.0,28.0,0.0,79.1503906,58.0078125,90.0,627.0
57,1643231146.273161,0.27,0.0,28.5,0.0,28.5,0.0,28.0,0.0,79.3945312,58.3007812,90.0,624.0
58,1643231146.4461393,0.26,0.0,28.5,0.0,28.5,0.0,28.0,0.0,79.3945312,58.3007812,90.0,623.0
59,1643231146.6222918,0.26,0.0,28.75,0.0,28.5,0.0,28.0,0.0,79.3945312,58.1054687,90.0,618.0
