,Time,Mass Flow,Flow Temperature,Temperature 1,Internal Temperature 1,Temperature 2,Internal Temperature 2,Temperature 3,Internal Temperature 3,Pressure,Valve Position
0,1638549741.5646465,0.54,25.08,0.0,0.0,0.0,0.0,0.0,0.0,6.0546875,90.0
1,1638549742.596568,0.45,25.09,0.0,0.0,0.0,0.0,0.0,0.0,6.1523437,90.0
2,1638549743.6426654,0.46,25.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0546875,90.0
3,1638549744.679467,0.46,25.11,0.0,0.0,0.0,0.0,0.0,0.0,6.0546875,90.0
4,1638549745.7025535,0.45,25.09,0.0,0.0,0.0,0.0,0.0,0.0,6.1523437,90.0
5,1638549746.7461138,0.45,25.11,0.0,0.0,0.0,0.0,0.0,0.0,6.1523437,90.0
6,1638549747.7876654,0.44,25.08,0.0,0.0,0.0,0.0,0.0,0.0,6.1523437,90.0
7,1638549748.8092363,0.45,25.15,0.0,0.0,0.0,0.0,0.0,0.0,6.1523437,90.0
8,1638549749.8566906,0.44,25.14,0.0,0.0,0.0,0.0,0.0,0.0,6.1523437,90.0
9,1638549750.8879223,0.45,25.15,0.0,0.0,0.0,0.0,0.0,0.0,6.7382812,90.0
10,1638549751.9231641,0.44,25.13,0.0,0.0,0.0,0.0,0.0,0.0,6.1523437,81.0
11,1638549752.9564965,0.44,25.09,0.0,0.0,0.0,0.0,0.0,0.0,6.1523437,72.0
12,1638549754.0158546,142.95,25.08,0.0,0.0,0.0,0.0,0.0,0.0,6.0546875,63.0
13,1638549755.0334187,74.99,25.03,0.0,0.0,0.0,0.0,0.0,0.0,6.0546875,72.0
14,1638549756.063332,48.83,25.07,0.0,0.0,0.0,0.0,0.0,0.0,6.0546875,81.0
15,1638549757.105443,57.7,25.09,0.0,0.0,0.0,0.0,0.0,0.0,6.0546875,72.0
16,1638549758.147223,61.3,25.17,0.0,0.0,0.0,0.0,0.0,0.0,5.9570312,81.0
17,1638549759.1723342,-2.19,25.17,0.0,0.0,0.0,0.0,0.0,0.0,5.9570312,90.0
18,1638549760.218927,1.45,25.15,0.0,0.0,0.0,0.0,0.0,0.0,5.9570312,81.0
19,1638549761.24658,0.95,25.11,0.0,0.0,0.0,0.0,0.0,0.0,5.9570312,73.0
20,1638549762.3657427,141.49,25.08,0.0,0.0,0.0,0.0,0.0,0.0,5.9570312,64.0
21,1638549763.3213398,74.26,25.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9570312,69.0
22,1638549764.382241,62.4,25.05,0.0,0.0,0.0,0.0,0.0,0.0,5.859375,78.0
23,1638549765.41763,12.45,25.08,0.0,0.0,0.0,0.0,0.0,0.0,5.859375,87.0
24,1638549766.42865,1.05,25.21,0.0,0.0,0.0,0.0,0.0,0.0,5.859375,79.0
25,1638549767.4672902,2.28,25.09,0.0,0.0,0.0,0.0,0.0,0.0,5.859375,70.0
26,1638549768.5148075,161.02,25.01,0.0,0.0,0.0,0.0,0.0,0.0,5.859375,60.0
27,1638549769.5377867,63.43,25.05,0.0,0.0,0.0,0.0,0.0,0.0,5.859375,68.0
28,1638549770.58154,59.11,25.03,0.0,0.0,0.0,0.0,0.0,0.0,6.0546875,77.0
29,1638549771.620469,21.47,25.12,0.0,0.0,0.0,0.0,0.0,0.0,6.1523437,86.0
30,1638549772.6614556,11.49,25.1,0.0,0.0,0.0,0.0,0.0,0.0,5.859375,77.0
31,1638549773.6853151,15.89,25.11,0.0,0.0,0.0,0.0,0.0,0.0,5.7617187,68.0
32,1638549774.7468162,141.23,25.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7617187,60.0
33,1638549775.7648845,62.65,25.03,0.0,0.0,0.0,0.0,0.0,0.0,5.9570312,69.0
34,1638549776.8333275,57.46,25.04,0.0,0.0,0.0,0.0,0.0,0.0,5.9570312,78.0
35,1638549777.8377595,13.52,25.15,0.0,0.0,0.0,0.0,0.0,0.0,5.9570312,86.0
36,1638549778.8843963,1.61,25.14,0.0,0.0,0.0,0.0,0.0,0.0,5.9570312,79.0
37,1638549779.9366727,2.53,25.08,0.0,0.0,0.0,0.0,0.0,0.0,5.9570312,70.0
38,1638549780.9514549,159.08,24.97,0.0,0.0,0.0,0.0,0.0,0.0,5.9570312,61.0
39,1638549782.00488,63.29,25.04,0.0,0.0,0.0,0.0,0.0,0.0,5.9570312,69.0
40,1638549783.0216737,60.99,25.04,0.0,0.0,0.0,0.0,0.0,0.0,5.9570312,78.0
41,1638549784.0491574,10.52,25.09,0.0,0.0,0.0,0.0,0.0,0.0,5.9570312,87.0
42,1638549785.091313,1.82,25.17,0.0,0.0,0.0,0.0,0.0,0.0,5.9570312,78.0
43,1638549786.12895,2.7,25.08,0.0,0.0,0.0,0.0,0.0,0.0,5.9570312,69.0
44,1638549787.1596682,154.05,25.02,0.0,0.0,0.0,0.0,0.0,0.0,5.9570312,61.0
45,1638549788.2092557,62.21,25.09,0.0,0.0,0.0,0.0,0.0,0.0,5.9570312,70.0
46,1638549789.2280488,54.24,25.05,0.0,0.0,0.0,0.0,0.0,0.0,5.9570312,78.0
47,1638549790.293338,6.37,25.08,0.0,0.0,0.0,0.0,0.0,0.0,5.9570312,87.0
48,1638549791.311679,0.72,25.18,0.0,0.0,0.0,0.0,0.0,0.0,5.9570312,80.0
49,1638549792.3719668,1.55,25.15,0.0,0.0,0.0,0.0,0.0,0.0,5.9570312,71.0
50,1638549793.37855,91.88,25.02,0.0,0.0,0.0,0.0,0.0,0.0,5.9570312,63.0
51,1638549794.4377434,1.46,25.03,0.0,0.0,0.0,0.0,0.0,0.0,5.9570312,71.0
52,1638549795.443469,49.01,25.07,0.0,0.0,0.0,0.0,0.0,0.0,5.9570312,62.0
53,1638549796.5064378,69.1,25.0,0.0,0.0,0.0,0.0,0.0,0.0,5.859375,54.0
54,1638549797.521149,65.04,25.01,0.0,0.0,0.0,0.0,0.0,0.0,5.859375,61.0
55,1638549798.5753691,63.35,24.98,0.0,0.0,0.0,0.0,0.0,0.0,5.7617187,70.0
56,1638549799.6274588,53.42,25.12,0.0,0.0,0.0,0.0,0.0,0.0,5.859375,79.0
57,1638549800.7622404,9.9,25.03,0.0,0.0,0.0,0.0,0.0,0.0,5.859375,86.0
58,1638549801.683738,1.71,25.13,0.0,0.0,0.0,0.0,0.0,0.0,5.859375,82.0
59,1638549802.7018304,2.12,25.18,0.0,0.0,0.0,0.0,0.0,0.0,5.859375,73.0
60,1638549803.748675,123.02,25.08,0.0,0.0,0.0,0.0,0.0,0.0,5.859375,64.0
61,1638549804.7940223,79.09,25.05,0.0,0.0,0.0,0.0,0.0,0.0,5.859375,73.0
62,1638549805.8118854,63.22,25.01,0.0,0.0,0.0,0.0,0.0,0.0,5.859375,81.0
63,1638549806.8926566,-2.44,25.13,0.0,0.0,0.0,0.0,0.0,0.0,5.859375,90.0
64,1638549807.8853803,1.48,25.09,0.0,0.0,0.0,0.0,0.0,0.0,5.9570312,85.0
65,1638549808.9565904,1.06,25.08,0.0,0.0,0.0,0.0,0.0,0.0,5.859375,76.0
66,1638549809.9850838,38.2,25.11,0.0,0.0,0.0,0.0,0.0,0.0,5.859375,68.0
