,Time,Elapsed Time,Mass Flow,MFM Temperature,Inlet Temperature,Midpoint Temperature,Outlet Temperature,Heater Temperature,Supply Pressure,Inlet Pressure,Midpoint Pressure,Outlet Pressure,Valve Position,Heater Power,Heater Current
0,1644868415.543315,0.015622854232788086,101.33,23.72,22.5,27.0,49.5,144.5,-44.140625,6.3476562,5.5664062,5.7617187,90.0,200.0,4.65
1,1644868415.7245762,0.23161578178405762,101.47,23.79,23.75,27.25,49.0,143.5,-44.140625,6.3476562,5.46875,5.7617187,90.0,200.0,4.84
2,1644868415.8900077,0.35797691345214844,102.65,23.83,22.25,26.75,49.5,143.75,-44.140625,6.3476562,5.5664062,5.7617187,90.0,200.0,0.74
3,1644868416.0588663,0.5634005069732666,101.28,23.77,22.0,27.25,49.5,144.0,-44.140625,6.3476562,5.5664062,5.859375,90.0,200.0,-4.04
4,1644868416.2253046,0.6817893981933594,101.75,23.74,23.5,27.0,49.5,144.0,-44.140625,6.3476562,5.5664062,5.859375,90.0,200.0,-4.36
5,1644868416.4090075,0.9004244804382324,102.05,23.75,22.75,27.0,49.25,144.0,-44.3847656,6.3476562,5.5664062,5.7617187,90.0,200.0,2.29
6,1644868416.5589373,1.0128092765808105,102.31,23.78,23.0,27.0,49.75,144.0,-44.140625,6.3476562,5.5664062,5.7617187,90.0,200.0,5.21
7,1644868416.7253149,1.2323570251464844,102.25,23.79,22.25,27.0,49.25,143.75,-44.140625,6.3476562,5.46875,5.7617187,90.0,200.0,3.4
8,1644868416.9093106,1.4476025104522705,102.33,23.73,23.25,27.25,49.25,143.5,-44.3847656,6.3476562,5.5664062,5.859375,90.0,200.0,-1.17
9,1644868417.0906334,1.5634171962738037,102.34,23.77,22.0,26.5,49.75,143.75,-44.140625,6.3476562,5.5664062,5.859375,90.0,200.0,-5.24
10,1644868417.2440479,1.6823155879974365,101.44,23.68,22.0,27.0,49.5,144.0,-44.140625,6.3476562,5.5664062,5.7617187,90.0,200.0,-0.61
11,1644868417.409275,1.900693655014038,102.22,23.79,22.0,26.75,49.25,143.75,-44.140625,6.3476562,5.5664062,5.7617187,90.0,200.0,4.97
12,1644868417.5823605,2.120652437210083,102.21,23.75,22.5,27.0,49.5,144.0,-44.3847656,6.3476562,5.5664062,5.7617187,90.0,200.0,4.52
13,1644868417.744729,2.2331326007843018,102.31,23.7,22.25,27.25,49.25,144.5,-44.140625,6.3476562,5.5664062,5.7617187,90.0,200.0,-0.11
14,1644868417.9261658,2.4644577503204346,102.28,23.78,22.5,27.5,49.25,144.25,-44.140625,6.4453125,5.5664062,5.859375,90.0,200.0,-5.16
15,1644868418.0916586,2.5830745697021484,102.14,23.78,22.75,26.75,49.75,145.0,-44.140625,6.3476562,5.5664062,5.7617187,90.0,200.0,-1.49
16,1644868418.2607672,2.7990591526031494,102.29,23.82,22.5,27.0,49.5,144.5,-44.140625,6.3476562,5.46875,5.7617187,90.0,200.0,4.5
17,1644868418.4269137,2.9027063846588135,103.01,23.75,22.25,27.0,49.25,144.5,-44.3847656,6.3476562,5.5664062,5.7617187,90.0,200.0,4.84
18,1644868418.6080518,3.1307191848754883,102.55,23.8,22.75,27.5,49.5,144.75,-44.3847656,6.3476562,5.5664062,5.7617187,90.0,200.0,0.74
19,1644868418.7769065,3.2462856769561768,101.69,23.79,22.25,27.0,49.75,144.5,-44.140625,6.3476562,5.5664062,5.7617187,90.0,200.0,-0.05
20,1644868418.94654,3.4848320484161377,102.16,23.7,22.0,27.0,49.75,144.75,-44.140625,6.3476562,5.5664062,5.7617187,90.0,200.0,0.05
21,1644868419.112896,3.604311227798462,102.95,23.77,22.25,27.5,49.5,145.5,-44.140625,6.3476562,5.5664062,5.7617187,90.0,200.0,-0.03
22,1644868419.2779856,3.7162060737609863,101.78,23.76,22.25,27.0,49.75,144.75,-44.140625,6.3476562,5.5664062,5.7617187,90.0,200.0,0.0
23,1644868419.4472258,3.947831630706787,102.28,23.76,22.5,27.0,49.25,145.25,-44.140625,6.3476562,5.5664062,5.7617187,90.0,200.0,0.0
24,1644868419.613578,4.063354730606079,102.28,23.81,22.5,26.75,49.25,145.25,-44.140625,6.3476562,5.5664062,5.7617187,90.0,200.0,0.0
25,1644868419.7942467,4.2856669425964355,102.18,23.82,20.75,27.0,48.75,145.0,-44.140625,6.3476562,5.5664062,5.7617187,90.0,200.0,0.05
26,1644868419.9627695,4.50106143951416,102.86,23.77,23.5,27.25,49.0,145.25,-44.140625,6.3476562,5.5664062,5.7617187,90.0,200.0,0.0
27,1644868420.12903,4.604820966720581,102.31,23.76,22.25,27.5,49.75,145.25,-44.140625,6.3476562,5.5664062,5.7617187,90.0,200.0,0.08
28,1644868420.2944572,4.832749128341675,102.64,23.79,22.25,27.75,45.5,141.0,-44.3847656,6.3476562,5.5664062,5.7617187,90.0,200.0,-0.05
29,1644868420.4633124,4.951172590255737,101.8,23.71,22.75,26.25,47.25,145.25,-44.140625,6.3476562,5.46875,5.7617187,90.0,200.0,0.08
30,1644868420.629216,5.167507886886597,102.25,23.72,22.0,27.75,50.0,145.5,-44.140625,6.3476562,5.5664062,5.7617187,90.0,200.0,-0.13
31,1644868420.8242862,5.286198139190674,101.61,23.76,22.0,27.5,49.0,145.25,-44.140625,6.3476562,5.5664062,5.7617187,90.0,200.0,0.05
32,1644868420.9794793,5.502143383026123,101.72,23.74,23.0,26.75,49.5,145.25,-44.3847656,6.3476562,5.5664062,5.7617187,90.0,200.0,0.05
33,1644868421.1485944,5.602384805679321,101.87,23.73,22.25,26.75,50.0,145.5,-44.140625,6.3476562,5.5664062,5.7617187,90.0,200.0,-0.03
34,1644868421.3147883,5.821831941604614,102.58,23.8,22.0,27.0,49.0,144.25,-44.140625,6.3476562,5.5664062,5.7617187,90.0,200.0,0.11
35,1644868421.4803436,5.934212684631348,101.59,23.81,22.0,27.0,49.25,145.75,-44.3847656,6.3476562,5.5664062,5.7617187,90.0,200.0,-0.03
36,1644868421.6495454,6.153581380844116,102.11,23.84,22.0,27.0,49.5,144.0,-44.140625,6.3476562,5.5664062,5.7617187,90.0,200.0,-0.03
37,1644868421.8427625,6.272061586380005,102.22,23.81,22.25,27.25,49.25,145.25,-44.3847656,6.3476562,5.5664062,5.7617187,90.0,200.0,0.16
38,1644868421.9993472,6.490745306015015,103.21,23.67,22.25,26.75,49.25,144.75,-44.3847656,6.25,5.5664062,5.7617187,90.0,200.0,0.03
39,1644868422.167874,6.70616602897644,101.82,23.71,22.5,26.75,49.5,145.25,-44.3847656,6.3476562,5.5664062,5.7617187,90.0,200.0,0.0
