,Time,Mass Flow,Flow Temperature,Temperature 1,Internal Temperature 1,Temperature 2,Internal Temperature 2,Temperature 3,Internal Temperature 3,Pressure,Valve Position
0,1638824109.794054,156.89,23.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0976563,39.25
1,1638824109.9230154,154.81,23.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.25
2,1638824110.061219,155.26,23.63,0.0,0.0,0.0,0.0,0.0,0.0,0.1953125,39.5
3,1638824110.2172003,154.33,23.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.75
4,1638824110.3422132,154.08,23.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.75
5,1638824110.4842029,154.09,23.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.75
6,1638824110.6529706,154.08,23.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.75
7,1638824110.750958,154.52,23.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0976563,39.75
8,1638824110.9179676,153.97,23.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.75
9,1638824111.058958,154.28,23.71,0.0,0.0,0.0,0.0,0.0,0.0,0.1953125,39.75
10,1638824111.1999593,153.35,23.67,0.0,0.0,0.0,0.0,0.0,0.0,0.1953125,39.75
11,1638824111.3899562,153.34,23.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.75
12,1638824111.4659603,153.74,23.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.75
13,1638824111.6099608,152.46,23.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.75
14,1638824111.74499,151.77,23.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0976563,39.75
15,1638824111.8749604,152.84,23.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.75
16,1638824112.0009615,151.67,23.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0976563,39.75
17,1638824112.1479852,152.21,23.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.75
18,1638824112.3062973,152.32,23.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.75
19,1638824112.431296,151.55,23.68,0.0,0.0,0.0,0.0,0.0,0.0,0.1953125,39.75
20,1638824112.5612981,152.17,23.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.75
21,1638824112.7026978,151.48,23.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.75
22,1638824112.8327384,151.75,23.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.75
23,1638824113.00173,150.79,23.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.75
24,1638824113.12471,151.74,23.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.75
25,1638824113.2567077,150.81,23.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.75
26,1638824113.380738,150.51,23.68,0.0,0.0,0.0,0.0,0.0,0.0,0.1953125,39.75
27,1638824113.5277057,150.18,23.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0976563,39.75
28,1638824113.6997054,150.56,23.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.75
