,Time,Elapsed Time,Mass Flow,Target Mass Flow,MFM Temperature,Inlet Temperature,Midpoint Temperature,Outlet Temperature,Heater Temperature,Supply Pressure,Inlet Pressure,Midpoint Pressure,Outlet Pressure,Valve PositionHeater Power,Heater Current
0,1644263543.5391695,0.042908430099487305,16.28,0.0,25.27,46.25,35.0,23.75,143.5,-0.9277344,0.0,0.0,0.0,0.0,200.0
1,1644263543.7099264,0.2762339115142822,16.38,0.0,25.26,47.0,35.0,23.25,143.0,-0.6835937,0.2929687,0.0,0.0,0.0,200.0
2,1644263543.8871033,0.38550543785095215,16.29,0.0,25.33,47.0,34.5,23.25,143.25,-0.9277344,0.1953125,0.0,0.0,0.0,200.0
3,1644263544.039796,0.6057429313659668,16.37,0.0,25.31,46.75,34.25,23.5,143.0,-0.9277344,0.0976563,0.0,0.0,0.0,200.0
4,1644263544.2109241,0.7142782211303711,16.32,0.0,25.27,46.75,35.0,23.5,143.75,-0.6835937,0.1953125,0.0,0.0,0.0,200.0
5,1644263544.3899205,0.9326975345611572,16.39,0.0,25.29,47.25,34.75,23.0,143.0,-0.9277344,0.1953125,0.0,0.0,0.0,200.0
6,1644263544.5372667,1.0411434173583984,16.41,0.0,25.29,47.0,34.75,23.0,143.25,-0.6835937,0.390625,0.0,0.0,0.0,200.0
7,1644263544.7075171,1.2582123279571533,16.34,0.0,25.26,46.75,35.25,23.5,143.5,-0.9277344,0.2929687,0.0,0.0,0.0,200.0
8,1644263544.8815072,1.475294828414917,16.27,0.0,25.32,46.25,34.5,23.5,143.5,-0.9277344,0.1953125,0.0,0.0,0.0,200.0
9,1644263545.0544746,1.585768461227417,16.41,0.0,25.28,46.75,35.25,22.75,142.75,-0.6835937,0.2929687,0.0,0.0,0.0,200.0
10,1644263545.2063284,1.8029711246490479,16.33,0.0,25.31,46.5,35.0,23.25,143.5,-0.9277344,0.390625,0.2929687,0.0,0.0,200.0
11,1644263545.3773572,1.9145843982696533,16.38,0.0,25.29,46.75,35.0,23.0,143.75,-0.9277344,0.2929687,0.0,0.0,0.0,200.0
