,Time,Elapsed Time,Mass Flow,Target Mass Flow,MFM Temperature,Inlet Temperature,Midpoint Temperature,Outlet Temperature,Heater Temperature,Supply Pressure,Inlet Pressure,Midpoint Pressure,Outlet Pressure,Valve Position,Heater Power,Heater Current
0,1644435209.2233083,0.08167243003845215,48.7,0.0,25.44,23.5,22.0,24.0,23.25,1.7578125,2.6367187,1.5625,0.0,0.0,0.0,0.03
1,1644435209.3749392,0.19193506240844727,48.88,0.0,25.42,22.75,22.0,23.25,23.5,1.7578125,2.9296875,1.6601562,0.0,0.0,0.0,0.08
2,1644435209.5464275,0.41037893295288086,48.95,0.0,25.41,23.25,22.75,23.25,23.25,1.7578125,2.9296875,1.5625,0.0,0.0,0.0,0.11
3,1644435209.7232797,0.5186388492584229,49.12,0.0,25.46,23.25,23.5,23.0,23.25,1.7578125,2.8320312,1.4648437,0.0,0.0,0.0,-0.11
4,1644435209.8754547,0.7386832237243652,48.76,0.0,25.38,23.25,23.5,22.5,23.75,1.7578125,2.734375,1.4648437,0.0,0.0,0.0,-0.05
5,1644435210.045852,0.8469383716583252,48.81,0.0,25.36,22.0,22.25,23.5,23.5,1.7578125,2.734375,1.5625,0.0,0.0,0.0,0.05
6,1644435210.2163365,1.0639853477478027,49.11,0.0,25.39,23.0,23.25,22.75,24.75,1.7578125,2.734375,1.4648437,0.0,0.0,0.0,-0.08
7,1644435210.3756545,1.1732628345489502,49.02,0.0,25.38,22.25,23.0,23.0,24.0,2.0019531,2.6367187,1.5625,0.0,0.0,0.0,0.11
8,1644435210.543654,1.3899028301239014,49.16,0.0,25.44,23.0,22.5,22.25,23.0,1.7578125,2.5390625,1.7578125,0.0,0.0,0.0,-0.05
9,1644435210.7011786,1.5012073516845703,48.92,0.0,25.43,22.25,22.0,23.0,24.25,1.7578125,2.734375,1.7578125,0.0,0.0,0.0,-0.03
10,1644435210.8747525,1.7188260555267334,49.16,0.0,25.44,23.25,23.0,22.75,24.0,1.7578125,2.8320312,1.4648437,0.0,0.0,0.0,0.03
11,1644435211.043777,1.9381227493286133,49.04,0.0,25.36,22.75,23.0,23.75,23.25,1.7578125,2.734375,1.4648437,0.0,0.0,0.0,-0.03
