,Time,Elapsed Time,Mass Flow,MFM Temperature,Inlet Temperature,Midpoint Temperature,Outlet Temperature,Heater Temperature,Supply Pressure,Inlet Pressure,Midpoint Pressure,Outlet Pressure,Valve Position,Heater Power,Heater Current
0,1644865651.370572,0.12866926193237305,107.04,23.94,22.25,22.5,30.25,57.5,-44.140625,6.3476562,5.6640625,5.859375,90.0,50.0,0.08
1,1644865651.5394175,0.23512864112854004,106.86,23.88,22.25,22.5,30.0,57.5,-44.140625,6.3476562,5.6640625,5.859375,90.0,50.0,-0.03
2,1644865651.7057462,0.44821882247924805,106.91,23.82,22.75,22.25,29.75,57.5,-44.140625,6.3476562,5.6640625,5.9570312,90.0,50.0,-0.08
3,1644865651.8709712,0.5601015090942383,108.09,23.78,22.0,22.75,30.5,57.5,-44.3847656,6.3476562,5.6640625,5.859375,90.0,50.0,-0.03
4,1644865652.040228,0.7640624046325684,106.46,23.81,22.5,22.25,30.5,57.5,-44.140625,6.3476562,5.6640625,5.859375,90.0,50.0,-0.05
5,1644865652.2063563,0.8764488697052002,107.56,23.87,21.5,21.5,29.75,57.25,-44.140625,6.3476562,5.6640625,5.859375,90.0,50.0,0.0
6,1644865652.3876011,1.0988242626190186,107.01,23.84,21.5,22.5,30.5,57.25,-44.3847656,6.3476562,5.6640625,5.859375,90.0,50.0,0.05
7,1644865652.5603137,1.2993483543395996,106.43,23.86,22.75,22.75,30.0,57.5,-44.3847656,6.3476562,5.6640625,5.859375,90.0,50.0,0.03
8,1644865652.722642,1.4150664806365967,106.94,23.81,23.25,23.5,30.0,57.75,-44.3847656,6.3476562,5.6640625,5.859375,90.0,50.0,-0.03
9,1644865652.8881786,1.6462757587432861,106.68,23.86,20.75,23.0,29.5,57.25,-44.3847656,6.3476562,5.6640625,5.859375,90.0,50.0,0.08
10,1644865653.0574775,1.749558687210083,107.31,23.88,21.75,20.0,29.5,57.75,-44.3847656,6.3476562,5.6640625,5.859375,90.0,50.0,0.05
11,1644865653.2275765,1.9657294750213623,106.81,23.87,22.0,20.0,30.0,57.25,-44.140625,6.25,5.859375,5.859375,90.0,50.0,0.0
