,Time,Mass Flow,Flow Temperature,Temperature 1,Internal Temperature 1,Temperature 2,Internal Temperature 2,Temperature 3,Internal Temperature 3,Pressure,Valve Position
0,1638825660.7452135,155.06,24.53,0.0,0.0,0.0,0.0,0.0,0.0,0.1953125,0.25
1,1638825660.863051,155.39,24.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0976563,0.5
2,1638825660.9992042,155.58,24.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0976563,1.0
3,1638825661.1383417,154.96,24.51,0.0,0.0,0.0,0.0,0.0,0.0,0.1953125,1.25
4,1638825661.2870584,155.24,24.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5
5,1638825661.439694,155.46,24.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75
6,1638825661.5632524,154.85,24.48,0.0,0.0,0.0,0.0,0.0,0.0,0.1953125,2.25
7,1638825661.6964896,155.24,24.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5
8,1638825661.8314564,154.57,24.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0976563,2.75
9,1638825661.970166,154.72,24.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
10,1638825662.1312191,155.57,24.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0976563,3.5
11,1638825662.2606082,154.55,24.47,0.0,0.0,0.0,0.0,0.0,0.0,0.1953125,3.75
12,1638825662.3958735,153.45,24.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0976563,4.0
13,1638825662.5326645,154.21,24.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0976563,4.25
14,1638825662.6688051,154.06,24.5,0.0,0.0,0.0,0.0,0.0,0.0,0.1953125,4.75
15,1638825662.8024,154.35,24.48,0.0,0.0,0.0,0.0,0.0,0.0,0.1953125,5.0
16,1638825662.9433856,153.43,24.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.25
17,1638825663.077608,154.66,24.54,0.0,0.0,0.0,0.0,0.0,0.0,0.1953125,5.5
18,1638825663.228141,153.28,24.51,0.0,0.0,0.0,0.0,0.0,0.0,0.1953125,6.0
19,1638825663.367548,153.59,24.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25
20,1638825663.4990559,153.08,24.48,0.0,0.0,0.0,0.0,0.0,0.0,0.2929687,6.5
21,1638825663.6601977,154.05,24.47,0.0,0.0,0.0,0.0,0.0,0.0,0.1953125,6.75
22,1638825663.792739,153.99,24.49,0.0,0.0,0.0,0.0,0.0,0.0,0.1953125,7.25
23,1638825663.9290774,153.28,24.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0976563,7.5
24,1638825664.0639765,153.29,24.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.75
25,1638825664.1998851,152.62,24.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0976563,8.0
26,1638825664.326241,153.0,24.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.25
27,1638825664.462003,152.63,24.5,0.0,0.0,0.0,0.0,0.0,0.0,0.1953125,8.5
28,1638825664.6158938,152.46,24.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
29,1638825664.751699,153.1,24.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.25
30,1638825664.8870435,151.69,24.46,0.0,0.0,0.0,0.0,0.0,0.0,0.1953125,9.5
31,1638825665.02261,152.75,24.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.75
32,1638825665.1796346,151.95,24.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.25
33,1638825665.2967143,151.17,24.53,0.0,0.0,0.0,0.0,0.0,0.0,0.2929687,10.5
34,1638825665.4395723,151.71,24.51,0.0,0.0,0.0,0.0,0.0,0.0,0.1953125,10.75
35,1638825665.5691402,152.0,24.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0976563,11.25
36,1638825665.7173421,151.82,24.44,0.0,0.0,0.0,0.0,0.0,0.0,0.1953125,11.5
37,1638825665.849351,152.38,24.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.75
38,1638825665.9969356,151.66,24.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0976563,12.0
39,1638825666.121513,151.94,24.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5
40,1638825666.2727294,151.24,24.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.75
41,1638825666.3977942,151.05,24.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0976563,13.0
42,1638825666.5587213,151.31,24.52,0.0,0.0,0.0,0.0,0.0,0.0,0.1953125,13.25
43,1638825666.6798973,151.25,24.49,0.0,0.0,0.0,0.0,0.0,0.0,0.1953125,13.5
44,1638825666.8281364,151.64,24.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0976563,14.0
45,1638825666.9696543,150.98,24.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.25
46,1638825667.0970166,151.38,24.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5
47,1638825667.229743,151.35,24.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0976563,14.75
48,1638825667.3918226,151.38,24.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.25
49,1638825667.5135343,150.33,24.5,0.0,0.0,0.0,0.0,0.0,0.0,0.1953125,15.5
50,1638825667.6539562,149.49,24.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0976563,15.75
51,1638825667.782277,150.94,24.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
52,1638825667.9325676,150.45,24.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.25
53,1638825668.085426,150.17,24.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.75
54,1638825668.2160017,149.61,24.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
55,1638825668.3624249,149.83,24.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.25
56,1638825668.4986813,150.61,24.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0976563,17.5
57,1638825668.6345623,150.3,24.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.75
58,1638825668.763384,150.21,24.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0976563,18.25
59,1638825668.9019773,149.23,24.44,0.0,0.0,0.0,0.0,0.0,0.0,0.1953125,18.5
60,1638825669.033576,149.82,24.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.75
61,1638825669.1889439,149.08,24.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
62,1638825669.3129478,148.94,24.44,0.0,0.0,0.0,0.0,0.0,0.0,0.1953125,19.25
63,1638825669.4610543,149.29,24.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.75
64,1638825669.6000535,149.45,24.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
65,1638825669.7420187,149.15,24.45,0.0,0.0,0.0,0.0,0.0,0.0,0.1953125,20.25
66,1638825669.8813982,149.12,24.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.5
67,1638825669.9963698,149.44,24.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.75
68,1638825670.149042,149.26,24.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.25
69,1638825670.2783313,148.91,24.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.5
70,1638825670.4451892,148.75,24.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.75
71,1638825670.5630968,148.83,24.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0
72,1638825670.6985106,148.6,24.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0976563,22.25
73,1638825670.8518631,148.52,24.48,0.0,0.0,0.0,0.0,0.0,0.0,0.1953125,22.75
74,1638825670.983627,148.88,24.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0976563,23.0
75,1638825671.1299255,148.98,24.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0976563,23.25
76,1638825671.246884,147.98,24.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0976563,23.5
77,1638825671.3953636,148.39,24.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0976563,24.0
78,1638825671.5303044,148.43,24.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0976563,24.25
