,Time,Elapsed Time,Mass Flow,Target Mass Flow,MFM Temperature,Inlet Temperature,Midpoint Temperature,Outlet Temperature,Heater Temperature,Supply Pressure,Inlet Pressure,Midpoint Pressure,Outlet Pressure,Valve Position,Heater Power,Heater Current
0,1644443050.0004554,0.0,152.39,0.0,25.92,24.5,26.75,34.75,104.5,18.6035156,18.8476562,12.9882812,0.0976563,0.0,200.0,3.22
1,1644443050.1725202,0.21751165390014648,151.31,0.0,25.96,23.25,26.75,35.5,104.75,18.8476562,18.8476562,12.4023437,0.0,0.0,200.0,-3.43
2,1644443050.3467858,0.32747530937194824,151.41,0.0,26.0,23.5,26.0,35.0,105.0,18.8476562,18.75,12.9882812,0.0,0.0,200.0,-3.51
3,1644443050.5176551,0.5420818328857422,150.38,0.0,25.97,24.0,27.75,34.75,104.5,18.8476562,18.75,12.6953125,0.0,0.0,200.0,4.63
4,1644443050.68687,0.6526012420654297,151.55,0.0,26.0,23.25,26.5,35.75,105.25,18.8476562,19.0429687,12.9882812,0.2929687,0.0,200.0,3.51
5,1644443050.8628304,0.8714532852172852,152.35,0.0,25.95,23.75,26.5,36.0,104.5,18.8476562,18.9453125,12.7929687,0.0,0.0,200.0,-3.25
6,1644443051.0317888,0.9823553562164307,150.92,0.0,25.9,23.75,27.0,35.75,104.75,18.8476562,18.75,12.890625,0.0,0.0,200.0,-3.72
7,1644443051.2046793,1.2022297382354736,150.54,0.0,25.88,23.5,27.0,34.5,105.0,18.6035156,18.9453125,12.5976562,0.0,0.0,200.0,4.63
8,1644443051.3638067,1.4202845096588135,152.39,0.0,25.93,23.75,27.5,34.5,105.25,18.8476562,18.8476562,12.5976562,0.0976563,0.0,200.0,3.7
9,1644443051.5476289,1.5293993949890137,152.18,0.0,25.97,23.5,26.25,35.75,104.75,18.8476562,18.9453125,12.4023437,0.0,0.0,200.0,-3.09
10,1644443051.70456,1.7480366230010986,151.38,0.0,25.93,23.25,26.25,35.25,104.75,18.6035156,18.8476562,12.6953125,0.0,0.0,200.0,-3.67
11,1644443051.8801537,1.858891248703003,152.14,0.0,25.95,23.25,26.75,35.0,105.0,18.6035156,18.9453125,12.7929687,0.0,0.0,200.0,4.58
12,1644443052.0485268,2.0780019760131836,150.92,0.0,25.93,24.0,27.5,34.75,104.75,18.8476562,18.9453125,12.9882812,0.0976563,0.0,200.0,3.7
13,1644443052.2215772,2.186995029449463,151.44,0.0,25.95,23.5,26.75,35.0,104.75,18.8476562,18.8476562,12.7929687,0.0976563,0.0,200.0,-3.06
14,1644443052.403129,2.4074552059173584,151.88,0.0,25.94,24.0,27.5,35.5,104.5,18.8476562,18.9453125,12.9882812,0.0,0.0,200.0,-3.83
15,1644443052.5666535,2.6270859241485596,152.13,0.0,26.01,24.25,26.5,35.75,104.75,18.6035156,18.8476562,12.5976562,0.0976563,0.0,200.0,4.44
16,1644443052.7256196,2.7380471229553223,150.65,0.0,25.92,24.0,25.75,35.0,104.75,18.6035156,18.75,12.5976562,0.0,0.0,200.0,3.94
17,1644443052.919723,2.957202911376953,152.55,0.0,26.0,23.5,26.75,35.0,104.75,18.8476562,18.6523437,12.890625,0.0,0.0,200.0,-2.95
18,1644443053.070944,3.068211078643799,150.9,0.0,25.93,23.5,26.5,35.25,104.5,18.6035156,18.9453125,12.6953125,0.0976563,0.0,200.0,-3.88
19,1644443053.242736,3.2873921394348145,151.16,0.0,25.93,23.75,28.0,35.0,104.5,18.6035156,18.8476562,12.7929687,0.1953125,0.0,200.0,4.39
20,1644443053.4195855,3.3977367877960205,151.59,0.0,25.87,24.0,26.0,34.75,105.5,18.8476562,18.9453125,12.7929687,0.0,0.0,200.0,0.13
21,1644443053.5893905,3.6149039268493652,151.15,0.0,25.95,23.75,26.75,35.25,105.0,18.6035156,18.5546875,12.7929687,0.0,0.0,200.0,0.11
22,1644443053.7586584,3.7251625061035156,152.26,0.0,25.92,23.75,26.25,35.25,105.0,18.6035156,18.75,12.6953125,0.0976563,0.0,200.0,0.0
23,1644443053.938106,3.9427106380462646,152.44,0.0,25.9,24.0,26.25,34.75,104.75,18.6035156,18.8476562,12.890625,0.0976563,0.0,200.0,0.11
24,1644443054.1047046,4.165137052536011,150.88,0.0,25.95,24.25,26.25,35.5,104.75,18.6035156,18.8476562,12.7929687,0.0,0.0,200.0,-0.05
25,1644443054.2612467,4.274737596511841,150.05,0.0,25.89,22.75,27.25,34.5,105.0,18.6035156,18.75,12.890625,0.0,0.0,200.0,0.05
