,Time,Mass Flow,Flow Temperature,Temperature 1,Internal Temperature 1,Temperature 2,Internal Temperature 2,Temperature 3,Internal Temperature 3,Tank Pressure,Inlet Pressure,Valve Position,Heater Current
0,1643230548.6625357,0.26,0.0,24.0,0.0,29.0,0.0,23.75,0.0,66.2109375,51.6601562,90.0,547.0
1,1643230548.8099592,0.26,0.0,28.75,0.0,28.25,0.0,28.0,0.0,66.2109375,51.6601562,90.0,547.0
2,1643230548.9838955,0.26,0.0,25.75,0.0,29.0,0.0,25.75,0.0,66.2109375,51.7578125,90.0,546.0
3,1643230549.1548445,0.26,0.0,29.0,0.0,28.5,0.0,28.0,0.0,66.4550781,51.7578125,90.0,548.0
4,1643230549.313446,0.25,0.0,28.75,0.0,28.25,0.0,27.75,0.0,66.4550781,52.0507812,90.0,548.0
5,1643230549.4805012,0.26,0.0,29.0,0.0,29.0,0.0,26.75,0.0,66.9433593,52.2460937,90.0,548.0
6,1643230549.652508,0.26,0.0,17.25,0.0,30.0,0.0,18.5,0.0,66.9433593,51.953125,90.0,548.0
7,1643230549.826654,0.26,0.0,18.25,0.0,30.0,0.0,19.75,0.0,66.4550781,51.5625,90.0,550.0
8,1643230549.9798267,0.26,0.0,20.0,0.0,29.75,0.0,20.25,0.0,66.2109375,51.6601562,90.0,552.0
9,1643230550.1522915,0.25,0.0,9.5,0.0,29.75,0.0,15.25,0.0,66.4550781,51.6601562,90.0,546.0
10,1643230550.3232057,0.26,0.0,17.5,0.0,30.0,0.0,16.5,0.0,66.6992187,51.953125,90.0,548.0
11,1643230550.4816418,0.25,0.0,23.25,0.0,28.5,0.0,22.5,0.0,66.4550781,51.8554687,90.0,546.0
12,1643230550.6527169,0.25,0.0,22.0,0.0,29.75,0.0,19.25,0.0,66.4550781,51.8554687,90.0,546.0
13,1643230550.8199065,0.26,0.0,3.75,0.0,28.5,0.0,24.75,0.0,66.4550781,51.6601562,90.0,550.0
14,1643230551.0011451,0.26,0.0,27.5,0.0,28.25,0.0,23.75,0.0,66.4550781,51.8554687,90.0,545.0
15,1643230551.1513402,0.25,0.0,25.75,0.0,28.25,0.0,25.5,0.0,66.4550781,52.0507812,90.0,548.0
16,1643230551.317421,0.25,0.0,27.75,0.0,28.25,0.0,27.75,0.0,66.4550781,51.8554687,90.0,549.0
17,1643230551.4869163,0.26,0.0,18.75,0.0,28.5,0.0,23.0,0.0,66.6992187,51.7578125,90.0,551.0
18,1643230551.6618025,0.26,0.0,22.25,0.0,29.5,0.0,22.0,0.0,66.6992187,51.953125,90.0,549.0
19,1643230551.8139114,0.25,0.0,26.75,0.0,28.5,0.0,27.5,0.0,66.9433593,52.0507812,90.0,547.0
20,1643230551.9879274,0.25,0.0,13.0,0.0,30.0,0.0,18.75,0.0,66.4550781,51.7578125,90.0,547.0
21,1643230552.1653795,0.26,0.0,20.75,0.0,28.75,0.0,26.25,0.0,66.2109375,51.7578125,90.0,548.0
22,1643230552.3176603,0.26,0.0,-7.25,0.0,31.75,0.0,-5.0,0.0,65.9667968,51.6601562,90.0,546.0
