,Time,Elapsed Time,Mass Flow,MFM Temperature,Inlet Temperature,Midpoint Temperature,Outlet Temperature,Heater Temperature,Supply Pressure,Inlet Pressure,Midpoint Pressure,Outlet Pressure,Valve Position,Heater Power,Heater Current
33,1644866405.1193395,5.676768779754639,102.79,23.55,22.25,23.0,27.75,83.0,-44.140625,6.3476562,5.7617187,5.859375,90.0,100.0,-0.05
34,1644866405.2883174,5.780365228652954,102.04,23.59,21.75,23.25,28.0,83.0,-44.140625,6.3476562,5.6640625,5.859375,90.0,100.0,0.03
35,1644866405.4542427,5.996048927307129,102.04,23.53,22.0,24.25,27.75,83.0,-44.140625,6.3476562,5.6640625,5.859375,90.0,100.0,0.05
36,1644866405.619768,6.112178564071655,101.98,23.62,22.5,24.0,28.5,82.75,-44.140625,6.3476562,5.6640625,5.7617187,90.0,100.0,0.03
37,1644866405.7920563,6.330857038497925,101.86,23.54,22.75,24.25,28.0,83.0,-44.3847656,6.3476562,5.7617187,5.7617187,90.0,100.0,0.03
38,1644866405.9560916,6.431124687194824,101.55,23.67,22.25,24.0,27.75,82.75,-44.140625,6.3476562,5.7617187,5.859375,90.0,100.0,0.0
39,1644866406.1207697,6.646950960159302,102.54,23.62,22.5,23.25,28.0,82.75,-44.3847656,6.3476562,5.6640625,5.859375,90.0,100.0,0.11
40,1644866406.2894936,6.762401580810547,102.56,23.59,22.25,23.5,28.0,82.5,-44.140625,6.3476562,5.7617187,5.859375,90.0,100.0,0.11
41,1644866406.4742243,6.984582185745239,102.66,23.61,22.5,23.75,27.75,82.75,-44.140625,6.3476562,5.6640625,5.7617187,90.0,100.0,0.03
42,1644866406.624795,7.0941548347473145,102.11,23.55,22.25,23.5,27.75,82.5,-44.3847656,6.3476562,5.7617187,5.859375,90.0,100.0,0.08
43,1644866406.7905226,7.303691387176514,102.21,23.61,22.5,23.75,28.0,83.0,-44.140625,6.4453125,5.7617187,5.859375,90.0,100.0,-0.13
44,1644866406.956282,7.513711214065552,101.46,23.6,22.5,22.5,27.5,83.0,-44.3847656,6.4453125,5.7617187,5.7617187,90.0,100.0,-0.08
45,1644866407.1378927,7.632822513580322,101.66,23.58,22.5,22.75,28.5,83.0,-44.140625,6.3476562,5.6640625,5.859375,90.0,100.0,0.05
46,1644866407.3067925,7.848597049713135,101.85,23.63,22.5,23.5,28.0,83.0,-44.140625,6.4453125,5.7617187,5.859375,90.0,100.0,-0.05
47,1644866407.4758632,7.964482545852661,101.95,23.63,22.5,23.75,27.5,82.75,-44.140625,6.4453125,5.7617187,5.859375,90.0,100.0,0.11
48,1644866407.642592,8.184399604797363,101.78,23.64,22.5,23.5,28.5,82.75,-44.140625,6.3476562,5.7617187,5.7617187,90.0,100.0,-0.05
49,1644866407.8075304,8.296280145645142,102.85,23.62,22.5,23.5,27.75,83.0,-44.140625,6.3476562,5.6640625,5.7617187,90.0,100.0,0.11
50,1644866407.9764848,8.515277624130249,101.64,23.59,22.5,23.75,28.25,83.0,-44.140625,6.4453125,5.7617187,5.859375,90.0,100.0,0.08
51,1644866408.1456058,8.634177684783936,101.18,23.58,22.75,23.5,28.25,83.25,-44.3847656,6.4453125,5.6640625,5.859375,90.0,100.0,-0.05
52,1644866408.309004,8.850809812545776,101.71,23.6,22.5,23.25,27.75,83.0,-44.140625,6.4453125,5.7617187,5.859375,90.0,100.0,-0.16
53,1644866408.4780824,8.951075315475464,102.37,23.57,22.5,23.25,28.0,83.5,-44.140625,6.4453125,5.7617187,5.859375,90.0,100.0,0.05
54,1644866408.644223,9.170329809188843,102.46,23.54,22.75,23.5,27.75,83.0,-44.140625,6.4453125,5.7617187,5.859375,90.0,100.0,-0.03
55,1644866408.825638,9.283179759979248,102.22,23.6,22.25,23.75,28.5,82.5,-44.140625,6.4453125,5.7617187,5.859375,90.0,100.0,0.08
56,1644866408.9947748,9.501311779022217,101.71,23.6,22.25,23.0,28.75,82.75,-44.140625,6.4453125,5.7617187,5.859375,90.0,100.0,0.03
57,1644866409.1609483,9.718377590179443,101.48,23.63,22.25,23.25,27.75,82.75,-44.140625,6.4453125,5.7617187,5.859375,90.0,100.0,-0.05
58,1644866409.3461719,9.837242364883423,101.42,23.59,22.5,22.5,28.25,82.75,-44.140625,6.3476562,5.6640625,5.859375,90.0,100.0,0.0
59,1644866409.4953833,9.952985525131226,102.19,23.6,22.75,23.25,29.25,83.0,-44.3847656,6.4453125,5.7617187,5.9570312,90.0,100.0,-0.05
60,1644866409.661944,10.168700695037842,102.0,23.6,22.5,23.75,28.0,82.75,-44.140625,6.4453125,5.7617187,5.7617187,90.0,100.0,-0.11
61,1644866409.82678,10.284385681152344,101.51,23.64,22.5,23.75,27.75,83.0,-44.140625,6.4453125,5.6640625,5.859375,90.0,100.0,0.0
62,1644866409.9957702,10.503268241882324,102.43,23.54,22.75,23.25,28.75,83.0,-44.140625,6.3476562,5.6640625,5.859375,90.0,100.0,0.05
63,1644866410.1622477,10.719676971435547,101.33,23.61,22.5,23.25,28.5,82.75,-44.140625,6.4453125,5.7617187,5.859375,90.0,100.0,0.03
64,1644866410.3464673,10.838054656982422,101.41,23.55,22.25,23.5,28.5,82.75,-44.140625,6.4453125,5.6640625,5.7617187,90.0,100.0,0.03
65,1644866410.5120852,11.069514513015747,101.81,23.53,22.25,23.75,28.5,83.0,-44.140625,6.3476562,5.6640625,5.7617187,90.0,100.0,0.0
66,1644866410.6810763,11.173492908477783,101.67,23.56,22.25,22.75,28.25,83.0,-44.3847656,6.4453125,5.6640625,5.859375,90.0,100.0,0.03
67,1644866410.8487923,11.390594482421875,102.05,23.64,22.5,23.5,28.25,83.0,-44.3847656,6.3476562,5.6640625,5.859375,90.0,100.0,-0.03
68,1644866411.0125964,11.50449252128601,102.29,23.61,22.25,23.25,28.25,82.75,-44.140625,6.4453125,5.7617187,5.859375,90.0,100.0,-0.08
69,1644866411.181775,11.720573902130127,101.78,23.59,22.5,23.75,28.75,82.75,-44.140625,6.4453125,5.6640625,5.859375,90.0,100.0,0.11
70,1644866411.3479664,11.839362859725952,102.05,23.58,22.25,23.5,28.25,83.0,-44.3847656,6.4453125,5.6640625,5.859375,90.0,100.0,0.05
71,1644866411.5136294,12.039805173873901,101.74,23.67,22.25,23.25,28.5,82.75,-44.140625,6.3476562,5.7617187,5.859375,90.0,100.0,-0.03
72,1644866411.682867,12.240296363830566,102.46,23.62,22.5,23.75,28.75,83.0,-44.140625,6.3476562,5.7617187,5.7617187,90.0,100.0,0.03
73,1644866411.848715,12.340561866760254,101.39,23.54,22.5,22.25,29.0,83.0,-44.140625,6.3476562,5.6640625,5.859375,90.0,100.0,0.05
74,1644866412.0297062,12.571510076522827,102.2,23.63,22.5,23.25,28.25,82.5,-44.140625,6.4453125,5.6640625,5.859375,90.0,100.0,0.0
75,1644866412.1863883,12.671777248382568,101.18,23.6,22.25,23.25,28.0,83.0,-44.140625,6.3476562,5.6640625,5.859375,90.0,100.0,-0.03
76,1644866412.3614273,12.88760781288147,102.12,23.61,22.25,23.0,29.5,83.0,-44.3847656,6.5429687,5.6640625,5.859375,90.0,100.0,0.05
77,1644866412.5304992,12.987871408462524,102.16,23.63,22.5,23.75,28.5,82.75,-44.140625,6.3476562,5.6640625,5.859375,90.0,100.0,0.0
78,1644866412.6997252,13.207273721694946,101.59,23.55,22.5,23.25,29.25,83.25,-44.140625,6.3476562,5.7617187,5.859375,90.0,100.0,0.0
79,1644866412.8662705,13.423699855804443,101.99,23.55,22.25,22.25,28.75,82.5,-44.140625,6.3476562,5.6640625,5.859375,90.0,100.0,0.0
80,1644866413.031488,13.542043209075928,101.41,23.64,22.75,23.5,27.75,83.0,-44.140625,6.3476562,5.6640625,5.859375,90.0,100.0,-0.03
