,Time,Elapsed Time,Mass Flow,Target Mass Flow,MFM Temperature,Inlet Temperature,Midpoint Temperature,Outlet Temperature,Heater Temperature,Supply Pressure,Inlet Pressure,Midpoint Pressure,Outlet Pressure,Valve PositionHeater Power,Heater Current
0,1644266721.9825726,0.0,16.32,0.0,25.52,120.0,73.5,24.0,335.0,-0.6835937,0.390625,0.1953125,0.0,0.0,500.0
1,1644266722.1619635,0.20705938339233398,16.3,0.0,25.6,119.75,73.5,24.5,335.25,-0.6835937,0.0976563,0.0,0.0,0.0,500.0
2,1644266722.3244057,0.3152182102203369,16.37,0.0,25.6,119.5,73.5,24.5,334.75,-0.6835937,0.4882812,0.0,0.0,0.0,500.0
3,1644266722.494878,0.5316963195800781,16.39,0.0,25.57,120.0,73.25,24.5,334.75,-0.6835937,0.1953125,0.0,0.0,0.0,500.0
4,1644266722.6698754,0.7513856887817383,16.37,0.0,25.56,120.0,73.75,24.25,335.0,-0.6835937,0.4882812,0.0976563,0.0,0.0,500.0
5,1644266722.8375285,0.8590800762176514,16.34,0.0,25.53,119.75,73.5,24.75,335.25,-0.6835937,0.4882812,0.0,0.0,0.0,500.0
6,1644266722.9935522,1.077096700668335,16.35,0.0,25.57,120.25,73.5,24.75,335.25,-0.6835937,0.2929687,0.0,0.0,0.0,500.0
7,1644266723.1639283,1.1857199668884277,16.35,0.0,25.59,120.5,73.5,24.5,335.0,-0.6835937,0.0976563,0.2929687,0.0,0.0,500.0
8,1644266723.342624,1.403282642364502,16.31,0.0,25.51,120.0,73.0,24.75,335.25,-0.6835937,0.390625,0.0,0.0,0.0,500.0
9,1644266723.505419,1.5121726989746094,16.35,0.0,25.6,120.25,73.5,24.75,334.75,-0.6835937,0.2929687,0.0,0.0,0.0,500.0
10,1644266723.6763117,1.728966236114502,16.35,0.0,25.52,119.5,73.5,24.25,335.0,-0.6835937,0.390625,0.0,0.0,0.0,500.0
11,1644266723.850539,1.8370745182037354,16.33,0.0,25.58,120.5,73.25,24.25,335.0,-0.6835937,0.1953125,0.0,0.0,0.0,500.0
12,1644266724.0155084,2.0530004501342773,16.34,0.0,25.59,120.0,73.25,24.5,335.0,-0.6835937,0.1953125,0.0,0.0,0.0,500.0
13,1644266724.1721308,2.1602742671966553,16.34,0.0,25.57,120.25,73.25,24.75,335.0,-0.6835937,0.1953125,0.390625,0.0,0.0,500.0
14,1644266724.3443289,2.3805816173553467,16.35,0.0,25.55,120.5,73.25,24.5,335.25,-0.6835937,0.2929687,0.0,0.0,0.0,500.0
15,1644266724.5235465,2.599134922027588,16.34,0.0,25.58,120.5,73.5,24.25,334.75,-0.6835937,0.390625,0.0,0.0,0.0,500.0
16,1644266724.686075,2.7233657836914062,16.34,0.0,25.56,120.25,73.25,24.25,335.0,-0.6835937,0.2929687,0.0976563,0.0,0.0,500.0
17,1644266724.8560746,2.9396190643310547,16.34,0.0,25.56,119.5,72.75,24.25,335.0,-0.9277344,0.2929687,0.0,0.0,0.0,500.0
18,1644266725.0314894,3.049320697784424,16.35,0.0,25.55,120.75,73.25,24.75,335.25,-0.6835937,0.0976563,0.0,0.0,0.0,500.0
19,1644266725.2012045,3.2659544944763184,16.37,0.0,25.53,120.75,72.75,24.75,334.75,-0.6835937,0.390625,0.0,0.0,0.0,500.0
