,Time,Elapsed Time,Mass Flow,Target Mass Flow,MFM Temperature,Inlet Temperature,Midpoint Temperature,Outlet Temperature,Heater Temperature,Supply Pressure,Inlet Pressure,Midpoint Pressure,Outlet Pressure,Valve PositionHeater Power,Heater Current
0,1644265996.0074186,0.048795461654663086,16.39,0.0,25.44,100.5,63.0,23.75,281.25,-0.6835937,0.1953125,0.0976563,0.0,0.0,400.0
1,1644265996.1764476,0.15804314613342285,16.35,0.0,25.5,100.75,63.5,24.25,281.75,-0.9277344,0.0976563,0.1953125,0.0,0.0,400.0
2,1644265996.3485496,0.37563443183898926,16.35,0.0,25.48,100.25,63.25,23.75,281.25,-0.9277344,0.1953125,0.0,0.0,0.0,400.0
3,1644265996.5314867,0.5948464870452881,16.36,0.0,25.43,100.25,63.25,24.25,281.25,-0.6835937,0.390625,0.0,0.0,0.0,400.0
4,1644265996.676363,0.7203853130340576,16.32,0.0,25.41,100.25,63.0,23.5,281.5,-0.9277344,0.390625,0.0976563,0.0,0.0,400.0
5,1644265996.8624136,0.8284943103790283,16.35,0.0,25.46,100.5,62.75,24.0,281.25,-0.6835937,0.0976563,0.0976563,0.0,0.0,400.0
6,1644265997.0178585,1.0467236042022705,16.33,0.0,25.48,100.25,63.25,24.0,281.25,-0.6835937,0.1953125,0.0,0.0,0.0,400.0
7,1644265997.1954072,1.2658090591430664,16.38,0.0,25.5,100.5,62.75,24.25,281.5,-0.9277344,0.390625,0.0,0.0,0.0,400.0
8,1644265997.3616269,1.3903136253356934,16.35,0.0,25.5,100.5,63.0,24.0,281.25,-0.6835937,0.1953125,0.1953125,0.0,0.0,400.0
9,1644265997.5318353,1.4979650974273682,16.32,0.0,25.52,100.5,63.25,24.25,281.5,-0.6835937,0.2929687,0.0,0.0,0.0,400.0
10,1644265997.6879563,1.7174005508422852,16.35,0.0,25.48,100.5,63.0,23.75,281.5,-0.6835937,0.2929687,0.1953125,0.0,0.0,400.0
11,1644265997.8659248,1.936347246170044,16.34,0.0,25.5,100.25,63.0,24.25,281.75,-0.6835937,0.0976563,0.0,0.0,0.0,400.0
12,1644265998.032084,2.061342716217041,16.34,0.0,25.5,100.5,63.0,24.0,281.75,-0.6835937,0.0976563,0.0,0.0,0.0,400.0
13,1644265998.2041135,2.279473304748535,16.35,0.0,25.44,99.75,63.0,24.0,282.0,-0.6835937,0.2929687,0.0976563,0.0,0.0,400.0
14,1644265998.3816447,2.387965440750122,16.34,0.0,25.43,100.25,62.75,24.0,281.75,-0.6835937,0.390625,0.0,0.0,0.0,400.0
15,1644265998.533083,2.608442783355713,16.35,0.0,25.53,100.5,63.0,24.0,281.75,-0.6835937,0.4882812,0.0,0.0,0.0,400.0
16,1644265998.7080986,2.7190678119659424,16.35,0.0,25.54,100.25,62.75,24.25,281.5,-0.9277344,0.2929687,0.0,0.0,0.0,400.0
17,1644265998.8768485,2.8417840003967285,16.34,0.0,25.46,100.25,63.0,24.5,281.75,-0.6835937,0.0976563,0.0976563,0.0,0.0,400.0
18,1644265999.054164,3.0625531673431396,16.35,0.0,25.5,100.0,63.0,23.75,281.75,-0.6835937,0.4882812,0.0,0.0,0.0,400.0
19,1644265999.207531,3.282890796661377,16.34,0.0,25.52,100.25,63.5,23.5,281.5,-0.6835937,0.2929687,0.0,0.0,0.0,400.0
20,1644265999.3795323,3.4088900089263916,16.35,0.0,25.52,100.75,63.0,23.5,281.5,-0.6835937,0.0976563,0.0976563,0.0,0.0,400.0
21,1644265999.558952,3.6263082027435303,16.36,0.0,25.48,100.5,63.0,24.25,281.0,-0.9277344,0.390625,0.0,0.0,0.0,400.0
22,1644265999.7404146,3.736344814300537,16.36,0.0,25.55,100.25,63.25,23.75,281.25,-0.6835937,0.2929687,0.0,0.0,0.0,400.0
23,1644265999.882943,3.9583027362823486,16.33,0.0,25.5,100.25,63.0,23.75,281.25,-0.6835937,0.2929687,0.1953125,0.0,0.0,400.0
24,1644266000.0619404,4.067302942276001,16.36,0.0,25.45,99.5,63.25,24.25,281.75,-0.6835937,0.1953125,0.0,0.0,0.0,400.0
25,1644266000.219945,4.289300203323364,16.34,0.0,25.46,100.25,63.25,24.0,281.5,-0.6835937,0.2929687,0.0,0.0,0.0,400.0
26,1644266000.3859408,4.4143006801605225,16.32,0.0,25.54,100.0,63.25,23.75,281.25,-0.6835937,0.390625,0.0976563,0.0,0.0,400.0
27,1644266000.560939,4.633302450180054,16.37,0.0,25.49,100.25,63.5,23.75,281.5,-0.6835937,0.0976563,0.0,0.0,0.0,400.0
28,1644266000.7285273,4.741534948348999,16.28,0.0,25.5,100.0,63.25,23.75,281.5,-0.9277344,0.1953125,0.0,0.0,0.0,400.0
29,1644266000.9048755,4.959234237670898,16.34,0.0,25.51,100.25,63.25,23.5,281.25,-0.9277344,0.0976563,0.0,0.0,0.0,400.0
30,1644266001.057873,5.069233655929565,16.33,0.0,25.56,100.25,63.5,23.75,281.0,-0.6835937,0.0976563,0.0976563,0.0,0.0,400.0
31,1644266001.231869,5.288059711456299,16.41,0.0,25.57,100.5,63.25,24.25,281.25,-0.6835937,0.2929687,0.0976563,0.0,0.0,400.0
32,1644266001.4005036,5.397080659866333,16.36,0.0,25.5,100.25,63.0,23.75,281.5,-0.6835937,0.2929687,0.0,0.0,0.0,400.0
33,1644266001.572626,5.6168482303619385,16.26,0.0,25.48,100.5,63.5,24.0,281.25,-0.9277344,0.390625,0.0,0.0,0.0,400.0
34,1644266001.7328558,5.727174282073975,16.37,0.0,25.5,100.25,63.0,23.5,281.25,-0.6835937,0.2929687,0.0976563,0.0,0.0,400.0
35,1644266001.904626,5.946287631988525,16.35,0.0,25.54,100.25,62.75,24.25,281.5,-0.6835937,0.390625,0.0976563,0.0,0.0,400.0
36,1644266002.073626,6.055809020996094,16.37,0.0,25.48,100.25,63.5,24.25,281.5,-0.6835937,0.1953125,0.0,0.0,0.0,400.0
