,Time,Elapsed Time,Mass Flow,Target Mass Flow,MFM Temperature,Inlet Temperature,Midpoint Temperature,Outlet Temperature,Heater Temperature,Supply Pressure,Inlet Pressure,Midpoint Pressure,Outlet Pressure,Valve PositionHeater Power,Heater Current
34,1644006644.1301131,5.66299843788147,49.72,30.0,24.82,24.75,27.0,36.75,49.75,-44.3847656,6.25,5.5664062,5.6640625,0.0,0.0
35,1644006644.2971609,5.882172107696533,49.52,30.0,24.89,24.25,27.75,36.5,49.5,-44.3847656,6.25,5.5664062,5.6640625,0.0,0.0
36,1644006644.4529638,5.991582870483398,49.67,30.0,24.85,24.75,27.25,36.5,50.75,-44.3847656,6.25,5.5664062,5.6640625,0.0,0.0
37,1644006644.622972,6.208241939544678,49.72,30.0,24.91,24.25,27.0,36.75,50.0,-44.3847656,6.25,5.5664062,5.6640625,0.0,0.0
38,1644006644.7997842,6.426403999328613,49.69,30.0,24.86,24.5,27.75,36.5,49.75,-44.3847656,6.25,5.5664062,5.6640625,0.0,0.0
39,1644006644.9675696,6.53725790977478,49.38,30.0,24.87,24.5,28.25,36.75,49.5,-44.3847656,6.25,5.5664062,5.7617187,0.0,0.0
40,1644006645.1400478,6.7558770179748535,49.68,30.0,24.92,25.0,27.0,36.25,50.0,-44.3847656,6.1523437,5.5664062,5.6640625,0.0,0.0
41,1644006645.3006544,6.864792585372925,49.58,30.0,24.9,24.5,27.5,37.25,50.0,-44.3847656,6.25,5.5664062,5.6640625,0.0,0.0
42,1644006645.4684253,7.083571910858154,49.48,30.0,24.87,24.0,26.75,36.5,49.5,-44.3847656,6.1523437,5.5664062,5.7617187,0.0,0.0
43,1644006645.637618,7.191033840179443,49.49,30.0,24.88,24.5,27.25,36.5,50.25,-44.3847656,6.1523437,5.5664062,5.6640625,0.0,0.0
44,1644006645.8148773,7.410022258758545,49.52,30.0,24.95,24.5,28.0,36.25,49.75,-44.3847656,6.25,5.5664062,5.7617187,0.0,0.0
45,1644006645.9677818,7.520111322402954,49.76,30.0,24.86,24.5,27.0,37.0,49.75,-44.3847656,6.25,5.5664062,5.7617187,0.0,0.0
46,1644006646.1420698,7.741002559661865,49.34,30.0,24.88,24.25,27.25,36.75,49.75,-44.3847656,6.25,5.5664062,5.7617187,0.0,0.0
47,1644006646.3168929,7.850934267044067,49.7,30.0,24.87,25.0,27.0,36.75,49.75,-44.3847656,6.25,5.5664062,5.6640625,0.0,0.0
48,1644006646.4711292,8.070949792861938,49.45,30.0,24.87,24.5,27.0,36.25,49.75,-44.3847656,6.25,5.5664062,5.6640625,0.0,0.0
49,1644006646.6430357,8.181029319763184,49.69,30.0,24.95,24.25,28.25,36.75,50.0,-44.3847656,6.25,5.5664062,5.6640625,0.0,0.0
