,Time,Mass Flow,Flow Temperature,Temperature 1,Internal Temperature 1,Temperature 2,Internal Temperature 2,Temperature 3,Internal Temperature 3,Tank Pressure,Inlet Pressure,Valve Position,Heater Current
0,1643231220.1861954,0.26,0.0,28.5,0.0,28.75,0.0,28.0,0.0,85.9863281,61.5234375,90.0,658.0
1,1643231220.3421845,0.26,0.0,28.25,0.0,28.5,0.0,28.0,0.0,85.9863281,61.4257812,90.0,659.0
2,1643231220.5135114,0.26,0.0,28.5,0.0,28.75,0.0,28.0,0.0,85.9863281,61.4257812,90.0,661.0
3,1643231220.689998,0.26,0.0,28.5,0.0,28.5,0.0,28.0,0.0,85.7421875,61.1328125,90.0,665.0
4,1643231220.8395789,0.27,0.0,28.75,0.0,28.75,0.0,28.0,0.0,85.7421875,61.4257812,90.0,660.0
5,1643231221.0094838,0.25,0.0,28.5,0.0,28.75,0.0,27.75,0.0,85.7421875,61.5234375,90.0,662.0
6,1643231221.1797144,0.26,0.0,28.25,0.0,28.75,0.0,28.0,0.0,85.9863281,61.4257812,90.0,657.0
7,1643231221.3550584,0.26,0.0,28.5,0.0,28.5,0.0,28.0,0.0,85.9863281,61.4257812,90.0,660.0
8,1643231221.5262334,0.26,0.0,28.5,0.0,28.5,0.0,28.0,0.0,85.9863281,61.2304687,90.0,662.0
9,1643231221.6834147,0.26,0.0,28.25,0.0,28.5,0.0,28.0,0.0,85.9863281,61.328125,90.0,663.0
10,1643231221.8570678,0.26,0.0,28.5,0.0,28.75,0.0,28.25,0.0,85.9863281,61.6210937,90.0,661.0
11,1643231222.0140717,0.28,0.0,28.5,0.0,28.5,0.0,28.0,0.0,85.7421875,61.328125,90.0,660.0
12,1643231222.1830454,0.26,0.0,28.5,0.0,28.5,0.0,28.0,0.0,85.7421875,61.2304687,90.0,664.0
13,1643231222.357129,0.25,0.0,28.5,0.0,28.75,0.0,28.0,0.0,85.9863281,61.2304687,90.0,658.0
14,1643231222.5264733,0.26,0.0,28.5,0.0,28.75,0.0,28.0,0.0,85.7421875,61.2304687,90.0,659.0
15,1643231222.6837878,0.26,0.0,28.5,0.0,28.5,0.0,28.0,0.0,85.7421875,61.328125,90.0,661.0
16,1643231222.8526218,0.26,0.0,28.5,0.0,28.75,0.0,28.0,0.0,85.7421875,61.328125,90.0,663.0
17,1643231223.028277,0.25,0.0,28.5,0.0,28.75,0.0,28.0,0.0,85.9863281,61.5234375,90.0,664.0
18,1643231223.1835036,0.26,0.0,28.5,0.0,28.75,0.0,28.0,0.0,85.9863281,61.5234375,90.0,661.0
19,1643231223.3545172,0.25,0.0,28.5,0.0,28.75,0.0,28.0,0.0,86.2304687,61.5234375,90.0,659.0
20,1643231223.531329,0.28,0.0,28.5,0.0,28.5,0.0,28.0,0.0,85.9863281,61.4257812,90.0,658.0
21,1643231223.683698,0.26,0.0,28.5,0.0,28.75,0.0,28.0,0.0,85.9863281,61.4257812,90.0,663.0
22,1643231223.854147,0.25,0.0,28.5,0.0,28.75,0.0,28.0,0.0,85.7421875,61.328125,90.0,659.0
23,1643231224.0250604,0.26,0.0,28.5,0.0,28.75,0.0,28.0,0.0,85.7421875,61.4257812,90.0,663.0
24,1643231224.20021,0.26,0.0,28.5,0.0,28.5,0.0,28.0,0.0,85.4980468,61.1328125,90.0,660.0
25,1643231224.3526008,0.26,0.0,28.5,0.0,28.75,0.0,28.0,0.0,85.4980468,61.2304687,90.0,657.0
26,1643231224.5275493,0.26,0.0,28.5,0.0,28.75,0.0,28.0,0.0,85.4980468,61.2304687,90.0,658.0
27,1643231224.7047076,0.26,0.0,28.5,0.0,28.5,0.0,28.25,0.0,85.7421875,61.4257812,90.0,660.0
28,1643231224.8668647,0.26,0.0,28.5,0.0,28.5,0.0,28.25,0.0,85.7421875,61.4257812,90.0,662.0
29,1643231225.0248156,0.26,0.0,28.5,0.0,28.75,0.0,28.0,0.0,85.7421875,61.4257812,90.0,660.0
30,1643231225.1966205,0.26,0.0,28.5,0.0,28.75,0.0,28.0,0.0,86.2304687,61.6210937,90.0,661.0
31,1643231225.3576298,0.26,0.0,28.5,0.0,28.75,0.0,28.0,0.0,86.2304687,61.4257812,90.0,658.0
32,1643231225.5239966,0.27,0.0,28.5,0.0,28.75,0.0,28.0,0.0,86.4746093,61.6210937,90.0,657.0
33,1643231225.6939433,0.25,0.0,28.5,0.0,28.5,0.0,28.25,0.0,86.2304687,61.6210937,90.0,659.0
34,1643231225.8672214,0.26,0.0,28.75,0.0,28.75,0.0,28.0,0.0,85.9863281,61.328125,90.0,663.0
35,1643231226.035226,0.26,0.0,28.5,0.0,28.75,0.0,28.0,0.0,85.9863281,61.4257812,90.0,658.0
36,1643231226.1920476,0.26,0.0,28.5,0.0,28.5,0.0,28.0,0.0,85.7421875,61.328125,90.0,659.0
37,1643231226.3689044,0.25,0.0,28.5,0.0,28.75,0.0,28.0,0.0,85.7421875,61.2304687,90.0,660.0
38,1643231226.5361114,0.26,0.0,28.5,0.0,28.75,0.0,28.0,0.0,85.7421875,61.328125,90.0,663.0
39,1643231226.7071016,0.26,0.0,28.75,0.0,28.5,0.0,28.0,0.0,85.7421875,61.328125,90.0,658.0
40,1643231226.8620334,0.26,0.0,28.5,0.0,28.5,0.0,28.0,0.0,85.4980468,61.1328125,90.0,660.0
41,1643231227.0383415,0.26,0.0,28.25,0.0,27.75,0.0,26.75,0.0,85.7421875,61.4257812,90.0,659.0
42,1643231227.192178,0.26,0.0,28.25,0.0,27.5,0.0,27.25,0.0,85.7421875,61.6210937,90.0,663.0
43,1643231227.3674927,0.26,0.0,28.5,0.0,28.25,0.0,27.75,0.0,85.9863281,61.4257812,90.0,656.0
44,1643231227.5432959,0.26,0.0,28.5,0.0,28.5,0.0,27.75,0.0,85.9863281,61.4257812,90.0,660.0
45,1643231227.7093751,0.26,0.0,28.5,0.0,28.5,0.0,28.0,0.0,85.9863281,61.4257812,90.0,658.0
46,1643231227.8639476,0.26,0.0,28.5,0.0,28.75,0.0,28.0,0.0,85.7421875,61.328125,90.0,662.0
47,1643231228.034635,0.26,0.0,28.5,0.0,27.5,0.0,27.75,0.0,85.9863281,61.328125,90.0,662.0
48,1643231228.209064,0.26,0.0,28.5,0.0,28.0,0.0,27.5,0.0,85.9863281,61.5234375,90.0,662.0
49,1643231228.37871,0.26,0.0,28.5,0.0,28.0,0.0,27.5,0.0,85.9863281,61.328125,90.0,659.0
50,1643231228.5371423,0.26,0.0,28.75,0.0,27.5,0.0,27.75,0.0,85.7421875,61.2304687,90.0,664.0
51,1643231228.7107487,0.26,0.0,28.5,0.0,28.5,0.0,27.75,0.0,85.7421875,61.328125,90.0,660.0
