,Time,Mass Flow,Flow Temperature,Temperature 1,Internal Temperature 1,Temperature 2,Internal Temperature 2,Temperature 3,Internal Temperature 3,Tank Pressure,Inlet Pressure,Valve Position,Heater Current
0,1643231066.5413558,0.25,0.0,28.5,0.0,28.5,0.0,28.0,0.0,72.5585937,54.8828125,90.0,588.0
1,1643231066.6899073,0.26,0.0,28.75,0.0,28.5,0.0,28.0,0.0,72.3144531,54.7851562,90.0,589.0
2,1643231066.8616445,0.27,0.0,28.75,0.0,28.5,0.0,28.0,0.0,72.0703125,54.6875,90.0,580.0
3,1643231067.0413487,0.26,0.0,28.75,0.0,28.5,0.0,28.0,0.0,72.0703125,54.6875,90.0,587.0
4,1643231067.1904736,0.26,0.0,28.75,0.0,28.5,0.0,28.0,0.0,72.0703125,54.8828125,90.0,587.0
5,1643231067.3635652,0.26,0.0,28.5,0.0,28.5,0.0,28.0,0.0,72.0703125,54.8828125,90.0,586.0
6,1643231067.5433018,0.26,0.0,28.75,0.0,28.5,0.0,28.0,0.0,72.3144531,54.7851562,90.0,582.0
7,1643231067.6930363,0.26,0.0,28.75,0.0,28.5,0.0,28.0,0.0,72.3144531,54.8828125,90.0,585.0
8,1643231067.8625965,0.26,0.0,28.75,0.0,28.5,0.0,27.75,0.0,72.3144531,54.7851562,90.0,586.0
9,1643231068.0340402,0.26,0.0,28.75,0.0,28.75,0.0,28.0,0.0,72.5585937,55.1757812,90.0,586.0
10,1643231068.208108,0.26,0.0,28.5,0.0,28.5,0.0,28.0,0.0,73.046875,55.078125,90.0,589.0
11,1643231068.360526,0.26,0.0,28.5,0.0,28.75,0.0,28.0,0.0,73.2910156,55.1757812,90.0,588.0
12,1643231068.5344276,0.25,0.0,28.5,0.0,28.5,0.0,28.0,0.0,73.5351562,55.078125,90.0,588.0
13,1643231068.7017148,0.26,0.0,28.75,0.0,28.5,0.0,28.0,0.0,73.2910156,55.1757812,90.0,586.0
14,1643231068.8766844,0.26,0.0,28.5,0.0,28.5,0.0,28.0,0.0,73.2910156,55.1757812,90.0,584.0
15,1643231069.0283391,0.26,0.0,28.5,0.0,28.5,0.0,28.0,0.0,73.046875,54.8828125,90.0,585.0
16,1643231069.2020347,0.26,0.0,28.75,0.0,28.5,0.0,28.0,0.0,72.8027343,55.078125,90.0,586.0
17,1643231069.37234,0.25,0.0,28.75,0.0,28.5,0.0,28.0,0.0,72.8027343,55.078125,90.0,584.0
18,1643231069.5489013,0.26,0.0,28.5,0.0,28.5,0.0,28.0,0.0,72.5585937,55.078125,90.0,585.0
