,Time,Elapsed Time,Mass Flow,Target Mass Flow,MFM Temperature,Inlet Temperature,Midpoint Temperature,Outlet Temperature,Heater Temperature,Supply Pressure,Inlet Pressure,Midpoint Pressure,Outlet Pressure,Valve Position,Heater Power,Heater Current
0,1644532659.887918,0.06404852867126465,49.82,0.0,24.53,24.75,44.0,86.0,213.5,3.2226562,3.125,1.7578125,0.0,0.0,300.0,-0.69
1,1644532660.038812,0.17267179489135742,49.81,0.0,24.5,24.25,43.5,86.5,213.75,3.2226562,3.2226562,1.953125,0.0,0.0,300.0,0.11
2,1644532660.20822,0.39003777503967285,49.74,0.0,24.46,24.25,43.5,86.75,213.5,3.2226562,3.125,1.6601562,0.0,0.0,300.0,-0.59
3,1644532660.3991363,0.6077885627746582,49.78,0.0,24.51,24.0,43.75,85.75,213.75,3.2226562,3.0273437,1.8554687,0.0,0.0,300.0,0.11
4,1644532660.55387,0.7146601676940918,49.77,0.0,24.43,24.5,43.5,86.5,213.75,3.2226562,3.125,2.34375,0.0,0.0,300.0,-0.72
5,1644532660.7041593,0.9323937892913818,49.55,0.0,24.5,24.5,43.75,86.75,212.5,3.2226562,3.125,1.8554687,0.0,0.0,300.0,0.03
6,1644532660.8749154,1.0418624877929688,49.66,0.0,24.46,24.0,43.5,87.0,213.5,3.2226562,3.2226562,1.953125,0.0,0.0,300.0,-0.74
7,1644532661.0494714,1.256964921951294,49.84,0.0,24.43,24.5,43.75,86.75,213.5,3.4667968,3.2226562,1.8554687,0.0,0.0,300.0,0.16
8,1644532661.2000916,1.3657147884368896,49.85,0.0,24.47,24.5,43.75,86.5,212.75,3.2226562,3.3203125,1.953125,0.0,0.0,300.0,-0.66
9,1644532661.3844304,1.580885887145996,49.54,0.0,24.52,25.0,43.5,86.75,213.25,3.2226562,3.4179687,2.0507812,0.0,0.0,300.0,0.16
10,1644532661.538799,1.690394401550293,49.82,0.0,24.47,24.5,43.5,86.5,214.0,3.4667968,3.4179687,1.953125,0.0,0.0,300.0,-0.61
11,1644532661.7172682,1.9051740169525146,49.75,0.0,24.45,24.5,43.75,87.0,213.5,3.2226562,3.2226562,1.953125,0.0,0.0,300.0,0.11
12,1644532661.8780155,2.014331340789795,49.96,0.0,24.45,24.5,44.0,86.5,213.0,3.2226562,3.2226562,1.953125,0.0,0.0,300.0,-0.56
13,1644532662.0484755,2.2290892601013184,49.81,0.0,24.52,24.75,43.75,86.25,213.75,3.4667968,3.0273437,1.953125,0.0,0.0,300.0,0.16
14,1644532662.2025988,2.337035655975342,49.87,0.0,24.47,24.25,43.5,86.75,213.25,3.2226562,3.125,1.8554687,0.0,0.0,300.0,-0.64
15,1644532662.378805,2.5523667335510254,49.78,0.0,24.54,23.75,44.0,87.0,213.75,3.2226562,3.125,2.0507812,0.0,0.0,300.0,0.13
16,1644532662.5423007,2.7705352306365967,49.79,0.0,24.47,24.75,43.25,86.25,213.0,3.2226562,3.2226562,2.1484375,0.0,0.0,300.0,-0.56
